tt,Page,BrandLocale,JM-AU,CL-JP,AV-JP,BB-JP,LS-JP,MC-JP,EL-JP,LM-JP,EL-AU,EL-KR,MC-AU,CL-AU,CL-KR,JM-KR,EL-TW
1,Header,myAccountElem,//*[@class='gnav-util js-gnav-account'],"//*[contains(@class,'js-header-gnav-account-link--anon text-link--style-6')]",(//*[(@class='icon icon--account')])[2],"//*[contains(@class,'js-gnav-utility-item--v1')]","(//*[contains(@class,'gnav-utility-item-trigger-label ')])[2]",//*[@class='icon icon--icon--user site-my-mac__link-icon'],//*[@data-test-id='gnav_account_menu_login'],(//a[@href='/account/signin.tmpl'])[1],//*[@data-test-id='gnav_account_menu_login'],//*[@data-test-id='gnav_account_menu_login'],"//*[@id=""site-my-mac""]/label","//*[contains(@class,'js-login-status--anonymous text-link--style-6')]","//*[@id=""node-259154""]/div/div/header/div/div[2]/div[2]/div[2]/div[1]/nav/ul/li[1]",//*[@class='gnav-util js-gnav-account'],//*[@class='page-utilities__account page-utilities__item']
1,Header,mobMyAccountElem,//a[@class='js-gnav-header-sections__links-link-account'],"(//span[contains(@class,'header-gnav-account-link__text')])[1]",//a[@href='/account/signin.tmpl'],"(//*[contains(@href,'signin')])[1]","//*[contains(@class,'js-site-header-formatter__links-link-account')]",//*[@class='icon icon--icon--user site-my-mac__link-icon'],//*[@data-test-id='gnav_account_menu_login'],,,,,,,,
1,Header,myAccountSignedInElem,//*[@class='icon icon--account'],"(//*[contains(@class,'js-login-status--logged-in')])[1]",(//*[(@class='icon icon--account')])[1],"//*[contains(@class,'js-gnav-utility-item--v1')]","(//a[contains(@class,'site-header-formatter__utilities-item-link js-site-header-formatter__utilities-item-link jquery-once-1-processed')])[1]",(//a[@href='/account/profile_preferences.tmpl'])[1],//*[@data-test-id='gnav_account_menu_login'],"(//*[contains(@class,'menu__link menu__link--lvl-1')])[1]",//*[@data-test-id='gnav_account_menu_login'],//*[@data-test-id='gnav_account_menu_login'],"//*[@id=""site-my-mac""]/label","//*[contains(@class,'js-login-status--anonymous text-link--style-6')]","//*[@id=""node-259154""]/div/div/header/div/div[2]/div[2]/div[2]/div[1]/nav/ul/li[1]",//*[@class='gnav-util js-gnav-account'],"(//*[contains(@class,'page-utilities__account-text')])[1]"
1,Header,myAccountSignedUpElem,//*[@class='icon icon--account'],"(//*[contains(@class,'js-login-status--logged-in')])[1]",(//*[(@class='icon icon--account')])[1],"//*[contains(@class,'js-gnav-utility-item--v1')]","(//a[contains(@class,'site-header-formatter__utilities-item-link js-site-header-formatter__utilities-item-link jquery-once-1-processed')])[1]",(//a[@href='/account/profile_preferences.tmpl'])[1],//*[@data-test-id='gnav_account_menu_login'],"(//*[contains(@class,'menu__link menu__link--lvl-1')])[1]",//*[@data-test-id='gnav_account_menu_login'],//*[@data-test-id='gnav_account_menu_login'],"//*[@id=""site-my-mac""]/label","//*[contains(@class,'js-login-status--anonymous text-link--style-6')]","//*[@id=""node-259154""]/div/div/header/div/div[2]/div[2]/div[2]/div[1]/nav/ul/li[1]",//*[@class='gnav-util js-gnav-account'],"(//*[contains(@class,'page-utilities__account-text')])[1]"
1,Header,mobMyAccountSignedInElem,//a[@class='js-gnav-header-sections__links-link-account'],,(//*[@class='logged-in-content'])[2],"//*[contains(@class,'js-account-username')]","//*[contains(@class,'js-site-header-formatter__links-link-my-account')]",(//a[@href='/account/index.tmpl'])[2],//*[@data-test-id='gnav_account_menu_login'],,,,,,,,
1,Header,mobMyAccountSignedUpElem,//a[@class='js-gnav-header-sections__links-link-account'],,(//*[@class='logged-in-content'])[2],"(//*[contains(@href,'signin')])[4]","//*[contains(@class,'js-site-header-formatter__links-link-my-account')]",(//a[@href='/account/index.tmpl'])[2],//*[@data-test-id='gnav_account_menu_login'],,,,,,,,
1,Header,menuElem,//*[@aria-labelledby='gnav-hamburger'],//*[@aria-labelledby='icon-burger'],//*[@class='icon icon--hamburger'],//*[@aria-labelledby='gnav-hamburger'],//*[@aria-labelledby='gnav-hamburger'],,"(//span[contains(@class,'page-navigation__menu-icon')])",//*[@class='icon icon--tripple-hamburger'],,,,,,,
1,Header,cookieRejectElem,,,,"//button[contains(@class,'close-button')]","//button[contains(@class,'close-btn')]",,,,,,,,,,"//button[contains(@class,'banner-close-button')]"
1,Header,closePopUpElem,,,,,,,"//button[contains(@data-test-id,'gnav_account_menu_login')]",,"//button[contains(@class,'close-popup')]","//button[contains(@id,'cboxClose')]","//*[@id=""content_block_sitewide_banner_1""]/button","//button[@id=""cboxClose""]","//button[@id=""cboxClose""]",,
1,Header,overlayMenuAccountElem,,,,,"//*[contains(@class,'js-site-header-formatter__links-link-my-account')]",//*[@aria-labelledby='icon-icon--user'],"//*[contains(@class,'utility-nav__account-text')]","(//*[@class=""site-header-formatter__greetings-text js-site-header-formatter__greetings-text""])[1]",(//a[@href='/account/index.tmpl'])[1],(//a[@href='/account/index.tmpl'])[1],,"//a[contains(@class,'header-gnav-account-link__top-sign-in')]",,,
