tt,Page,BrandLocale,AV-DE,AV-EU,AV-FR,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-TR,BK-FR,CL-DE,CL-ES,CL-FI,CL-FR,CL-GR,CL-IL,CL-TR,CL-IT,DA-IT,EL-BE,EL-DE,EL-ES,EL-FR,EL-GR,EL-IL,EL-TR,JM-EU,JM-FR,JM-ME,LM-DE,LM-EU,MC-AT,MC-BE,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-KSA,MC-PL,MC-RO,MC-TR,OR-EU,SB-EU,TF-DE
1,HOMEPAGE,gnavMyAccountlinkinHPREG,//a[@class='site-header__utility-item user-loyalty__guest site-header__utility-signin'],//a[@class='site-header__utility-item user-loyalty__guest js-nav-content guest-content'],//*[@class='site-header__utility-item user-loyalty__guest js-nav-content guest-content'],"(//a[contains(@href,'/account/signin.tmpl')])[2]",//a[@class='gnav-utility-item__trigger-label js-gnav-utility-item-trigger'],//a[@class='gnav-utility-item__trigger-label js-gnav-utility-item-trigger'],//a[@class='gnav-utility-item__trigger-label js-gnav-utility-item-trigger'],//a[@class='gnav-utility-item__trigger-label js-gnav-utility-item-trigger'],"//a[contains(@href,'/account/index.tmpl')]",//i[@class='icon icon--account hide_auth'],//div[text()=' Anmelden'],a.header-gnav-account-link__top-sign-in,"//a[contains(@href,'/account/profile_preferences.tmpl')]",//div[@class='header-gnav-account-link__text header-gnav-account-link--anon js-header-gnav-account-link--anon text-link--style-6'],"//div[contains(@class,'header-gnav-account-link--anon js-header-gnav-account-link--anon')]",//a[@class='header-gnav-account-link__top-sign-in js-login-status--anonymous text-link--style-6'],//div[@class='header-gnav-account-link__text header-gnav-account-link--anon js-header-gnav-account-link--anon text-link--style-6'],a.header-gnav-account-link__top-sign-in,"//a[contains(@href,'/account/index.tmpl')]",//span[@class='utility-nav__signin-text page-utilities__signin-text'] | //span[@data-test-id='gnav_account_menu_login'],//a[@href='/account/index.tmpl'],//span[@data-test-id='gnav_account_menu_login'],//span[@data-test-id='gnav_account_menu_login'],//span[@data-test-id='gnav_account_menu_login'],//span[@data-test-id='gnav_account_menu_login'],//span[@data-test-id='home_myaccount_button_register'],//a[@class='gnav-util__icon gnav-util__icon--account gnav-account__icon js-overlay-trigger'],//a[@class='gnav-util__icon gnav-util__icon--account gnav-account__icon js-overlay-trigger'],//a[@class='gnav-util__icon gnav-util__icon--account gnav-account__icon js-overlay-trigger'],//a[@href='/account/signin.tmpl'],//a[@href='/account/signin.tmpl'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],a#site-my-mac,//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//span[@class='site-my-mac__link-header'],"//a[contains(@href,'/account/signin.tmpl')]",//a[@data-test-id='home_myaccount_button_register'],
1,ACCOUNTSIGNIN,gnavMyAcclinkREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN,acClickAlreadyRegisteredlinkREG,//span[@class='signin-block__toggle__cta js-signin-block-toggle link'],//span[@class='signin-block__toggle__cta js-signin-block-toggle link'],//span[@class='signin-block__toggle__cta js-signin-block-toggle link'],,,,,,,//*[@id='cboxClose'],,,,,,,,,,//div[@data-test-id='gnav_form_login']//a,//div[@class='signin-overlay__toggle-form signin-overlay__toggle-form--have-acount']/a,//div[@data-test-id='form_sign_in']/a|//div[@class='signin-overlay__toggle-form signin-overlay__toggle-form--have-acount']/a,,//div[@data-test-id='gnav_form_login']/a,,//div[@data-test-id='gnav_form_login']/a,,,,,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN,acRuEnterEmailIDREG,//div[@class='return-user__item']//input[@type='email'],//input[@id='drp_login_EMAIL_ADDRESS'],//input[@id='drp_login_EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//*[@id='form--signin--field--EMAIL_ADDRESS'] | //*[@id='root_properties_email'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//*[@id='form--signin--field--EMAIL_ADDRESS'] | //*[@id='root_properties_email'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='sign-in-component__EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@data-test-id='form_signin_email'],//input[@id='sign-in-component__EMAIL_ADDRESS'],//input[@id='sign-in-component__EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@data-test-id='gnav_login_form_email'],//input[@data-test-id='form_signin_email'],//input[@data-test-id='form_signin_email'],//input[@data-test-id='form_signin_email'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@data-test-id='gnav_login_form_email'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--EMAIL_ADDRESS'],//input[@id='form--signin--field--LOGIN_ID'],//input[@id='form--signin--field--EMAIL_ADDRESS'],
1,ACCOUNTSIGNIN,acRuEnterPasswordREG,//div[@class='return-user__item']//input[@type='password'],//input[@id='drp_login_PASSWORD'],//input[@id='drp_login_PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//*[@id='form--signin--field--PASSWORD'] | //*[@id='root_properties_password'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//*[@id='form--signin--field--PASSWORD'] | //*[@id='root_properties_password'],//input[@id='form--signin--field--PASSWORD'],//input[@id='sign-in-component__PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@data-test-id='form_signin_password'],//input[@id='sign-in-component__PASSWORD'],//input[@id='sign-in-component__PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@data-test-id='gnav_login_form_password'],//input[@data-test-id='form_signin_password'],//input[@data-test-id='form_signin_password'],//input[@data-test-id='form_signin_password'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@data-test-id='gnav_login_form_password'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],//input[@id='form--signin--field--PASSWORD'],
1,ACCOUNTSIGNIN,acRuClickLoginButtonREG,(//input[@data-test-id='form_signin_continue'])[2],//input[@class='signin-block__submit button js-signin-submit'],//input[@class='signin-block__submit button js-signin-submit'],//input[@class='sign-in-page__submit js_analytics_checkout_return_user'],//input[@class='sign-in-page__submit js_analytics_checkout_return_user'],//input[@class='sign-in-page__submit js_analytics_checkout_return_user'],//input[@class='sign-in-page__submit js_analytics_checkout_return_user'],//input[@class='sign-in-page__submit js_analytics_checkout_return_user'],"//input[contains(@class,'checkout_return_user')]",//input[@value='SE CONNECTER'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'] | //button[@data-test-id='signin'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'] | //button[@data-test-id='signin'],(//input[@data-test-id='form_signin_continue'])[2],//input[@data-test-id='gnav_form_login'],(//input[@class='form-submit'])[2],//input[@data-test-id='form_signin_continue']|(//input[@class='form-submit'])[2],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='form_signin_submit'],//input[@data-test-id='form_signin_submit'],//input[@data-test-id='form_signin_submit'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='gnav_form_login'],//input[@data-test-id='form_signin_continue'],//input[@data-test-id='form_signin_continue'],
1,ACCOUNTSIGNIN,gnavMyAccountlinkREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],,,//a[@id='site-my-mac'],a#site-my-mac,//a[@id='site-my-mac'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],//span[@class='site-my-mac__link-header'],,,
1,ACCOUNTSIGNIN,gnavMyAccountProfilelinkHoverREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN,gnavMyAccountProfilelinkREG,,,,//a[@data-test-id='myaccount_menu_profile'],,,//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],,,,,,,,,,,,//a[@data-test-id='myaccount_menu_profile'],,,//a[@data-test-id='myaccount_menu_profile'],,//span[@class='page-utilities__account-text'],,,,//a[@data-test-id='myaccount_menu_settings'],//a[@data-test-id='myaccount_menu_profile'],//a[@href='/account/profile_preferences.tmpl'],//a[@href='/be/nl/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],//a[text()='Mon profil'],//a[@id='site-my-mac'],//a[@id='site-my-mac'],,//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],,,
1,MYACCOUNT (Acc settings),acProfilePageREG,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_account'],//a[@href='/account/profile_preferences.tmpl'],,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],,,,,,,//a[@href='/account/profile_preferences.tmpl'],//a[@href='/account/profile_preferences.tmpl'],"//a[contains(@href,'/account/profile_preferences.tmpl')]",,,,,,//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],
