tt,BrandLocale,AV-UK,AV-US,AV-AU,AV-IT,AV-MX,CL-UK,CL-US,CL-AU,CL-IT,CL-MX,MC-UK,MC-US,MC-AU,MC-IT,MC-MX,EL-UK,EL-US,EL-AU,EL-IT,EL-MX,JM-UK,JM-US,JM-AU,JM-FR,JM-MX,OR-UK,OR-US,OR-TH,OR-MX,BB-UK,BB-US,BB-AU,BB-IT,BB-MX,GG-UK,GG-US,GG-HK,BK-UK,BK-US,BK-FR,LM-UK,LM-US,LM-AU,LM-FR,LM-MX,LS-UK,LS-US,LS-JP,DA-UK,DA-US,DA-FR,SB-US,SB-GR,TF-UK,TF-US,TF-JP,TF-BR,BU-UK,BU-US,FM-UK,FM-US,DJ-UK,DJ-US
1,cmsLoginLink,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In,Log In
1,cmsUserName,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin,elctest_sys_admin
1,cmsPwd,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline,elconline
1,cmsStructure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure,Structure
1,cmsAppearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance,Appearance
1,cmsPeople,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People,People
1,cmsModules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules,Modules
1,cmsConfiguration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration,Configuration
1,cmsPermissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions,Permissions
1,cmsSites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites,Sites
1,cmsReports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports,Reports
1,cmsAddContent,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content,Add content
1,cmsClickPage,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page
1,cmsClickContentBlock,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block,Content Block
1,cmsExpandToAddNewItem,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item,Expand to add new item
1,cmsSelectLayoutTempalte,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - HTML - v1,Basic - HTML - v1,Basic - HTML - v1,Basic - HTML - v1,Basic - HTML - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - Textarea - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1,Basic - v1
1,cmsHtmlContentt,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose,This is created for Test Purpose
1,cmsClickBasicInfo,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info,Basic Info
1,SaveChangeWorkflowStatus,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status,Save & Change Workflow Status
1,cmsEnterTitle,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content
1,cmsEnterAnalytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics,Title Will be used in analytics
1,cmsSelectSiteSection,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,testing,testing,testing,testing,testing,test,test,test,test,test,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Test Content,Test Content
1,cmsClickApprove,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve,Approve
1,cmsEnterLogMessagee,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
1,cmsClickUpdateState,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state,Update state
1,cmsClickPublish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish,Publish
