tt,BrandLocale,AV-US,BB-US,BU-US,CL-US,EL-US,FM-US,JM-US,LM-US,OR-US,SB-US
1,spec_foundationquizpc,0,1,0,1,0,0,0,0,0,1
1,spec_foundationquizmob,0,1,0,1,0,0,0,0,0,1
1,spec_foundationquizretakepc,0,1,0,1,0,0,0,0,0,1
1,spec_foundationquizretakemob,0,1,0,1,0,0,0,0,0,1
1,spec_hairquizpc,1,0,1,0,0,0,0,0,0,0
1,spec_hairquizmob,1,0,1,0,0,0,0,0,0,0
1,spec_hairquizretakepc,1,0,1,0,0,0,0,0,0,0
1,spec_hairquizretakemob,1,0,1,0,0,0,0,0,0,0
1,spec_scentquizpc,0,0,0,0,0,1,1,0,0,0
1,spec_scentquizmob,0,0,0,0,0,1,1,0,0,0
1,spec_scentquizretakepc,0,0,0,0,0,0,1,0,0,0
1,spec_scentquizretakemob,0,0,0,0,0,0,1,0,0,0
1,spec_skincarequizpc,0,0,0,0,1,0,0,1,1,0
1,spec_skincarequizmob,0,0,0,0,1,0,0,1,1,0
1,spec_skincarequizretakepc,0,0,0,0,1,0,0,1,1,0
1,spec_skincarequizretakemob,0,0,0,0,1,0,0,1,1,0
1,spec_moisturizerquizpc,0,0,0,0,0,0,0,0,0,0
1,spec_moisturizerquizmob,0,0,0,0,0,0,0,0,0,0
1,spec_moisturizerquizretakepc,0,0,0,0,0,0,0,0,0,0
1,spec_moisturizerquizretakemob,0,0,0,0,0,0,0,0,0,0
