tt,BrandLocale,AV-HK,AV-TH,AV-DK,AV-ME,AV-NO,AV-SE,AV-BR,BB-MY,BB-PH,BB-SG,BB-ME,BB-AR,BB-CE,CL-PH,CL-SG,CL-VN,CL-ME,CL-PT,CL-AR,CL-CO,CL-PA,CL-PE,CL-VE,DA-GR,DA-TW,DA-KR,EL-PH,EL-VN,EL-ID,EL-ME,EL-PT,EL-AR,EL-CO,EL-SV,EL-GT,EL-PA,EL-PE,EL-VE,JM-NZ,JM-DK,JM-GR,JM-IN,JM-ZA,JM-CH,JM-CE,LM-MY,LM-NZ,LM-PH,LM-SG,LM-ME,LM-TR,LS-HK,LS-MY,LS-SG,LS-TW,LS-TH,LS-IT,MC-PH,MC-SG,MC-VN,MC-AR,MC-PE,MC-VE,MC-PA,MC-GT,MC-SV,MC-CR,MC-EC,MC-BO,MC-NI,MC-UY,OR-KR,OR-MY,OR-PH,OR-SG
1,ACEMAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EmulationDevice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HomepageTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MPPpageTitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ExistsCheckFrequency,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,ExistsWaitTime,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
1,optionChinaMainland,CHINA (MAINLAND),CHINA (MAINLAND),CHINA (MAINLAND),CHINA (MAINLAND),CHINA (MAINLAND),CHINA (MAINLAND),CHINA (MAINLAND),China Mainland,China Mainland,China Mainland,,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,China Mainland,,,,,,,,,,,,,China Mainland,,,,China (Mainland),,,China Mainland,,China Mainland,China Mainland,,China Mainland,,China Mainland,China Mainland,,China Mainland,China Mainland,,,,,,,,,,,,,,,China Mainland,China Mainland,China Mainland,China Mainland
1,optionHongKong,"HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","HONG KONG, SAR OF CHINA","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China",,"Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China",,,,,,,,,,,,,"Hong Kong, SAR of China",,,,"Hong Kong, SAR of China",,,"Hong Kong, SAR of China",,"Hong Kong, SAR of China","Hong Kong, SAR of China",,"Hong Kong, SAR of China",,"Hong Kong, SAR of China","Hong Kong, SAR of China",,"Hong Kong, SAR of China","Hong Kong, SAR of China",,,,,,,,,,,,,,,"Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China","Hong Kong, SAR of China"
1,optionTaiwan,"TAIWAN, CHINA","TAIWAN, CHINA","TAIWAN, CHINA","TAIWAN, CHINA","TAIWAN, CHINA","TAIWAN, CHINA","TAIWAN, CHINA","Taiwan, China","Taiwan, China","Taiwan, China",,"Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China",,,,,,,,,,,,,"Taiwan, China",,,,"Taiwan, China",,,"Taiwan, China",,"Taiwan, China","Taiwan, China",,"Taiwan, China",,"Taiwan, China","Taiwan, China",,"Taiwan, China","Taiwan, China",,,,,,,,,,,,,,,"Taiwan, China","Taiwan, China","Taiwan, China","Taiwan, China"
