tt,BrandLocale,EL-AU,MC-AU,CL-AU,LM-AU,JM-AU,BB-AU,AV-AU,EL-NZ,MC-NZ,CL-NZ,EL-MY,MC-MY,CL-MY,EL-JP,MC-JP,CL-US,CL-CA,EL-US,EL-CA,MC-US,AV-US,AV-CA,MC-CA,OR-US,OR-CA,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,EL-HK,MC-HK,CL-HK,LM-HK,JM-HK,BB-HK,GG-HK,OR-HK,EL-TH,MC-TH,CL-TH,LM-TH,JM-TH,BB-TH,OR-TH,EL-TW,MC-TW,CL-TW,LM-TW,BB-TW,OR-TW,EL-KR,MC-KR,CL-KR,JM-KR,BB-KR,AV-KR,LS-KR,LM-KR,JM-UK,EL-UK,MC-UK,CL-UK,BB-UK,AV-UK
1,processingID,,,,,,,,,,,,,,1006404815,,,,,,,,,,,,,,,,,,,,,,,,1006441743,,,,,,,,,,,,,,,,,,,,,,1006476136,4469485,237566912,23397627,227520160,3605320,4106479
1,shippedID,,,,,,,,,,,,,,1005308510,,877258267,877436218,878217675,878436767,879061150,880038087,880047732,878941947,880533834,880821501,,,,,,,,,,,,,1006178355,,,,,,,,,,,,,,,,,,,,,,1006406260,,,,,,
1,deliveredID,,,,,,,,,,,,,,1005955740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006424936,4449017,237616911,23330456,220470620,3604868,4106508
1,cancelledID,,,,,,,,,,,,,,1006132366,,877256357,,878160281,878266814,878657393,879979981,880047337,879048823,880812342,880539399,,,,,,,,,,,,,1006041430,,,,,,,,,,,,,,,,,,,,,,1006424930,,,,,,
1,returnInProgressID,,,,,,,,,,,,,,1005673957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1006408355,,,,,,
1,atWarehouseID,,,,,,,,,,,,,,,,,,,,,,,,,,1005337179,,,,,,,,,,,,1005771358,,,,,,,,,,,,,,,,,,,,,,1006409937,4448718,237416922,23397464,220471111,3604864,4106509
1,invalidID,,,,,,,,,,,,,,100567395$,,"100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$",100567395$,,,,,,,,,,,,100567395$,,,,,,,,,,,,,,,,,,,,,,100567395$,"100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$","100,567,395$"
1,trackOrderErrorMsg,,,,,,,,,,,,,,,,Hmmm…we can’t find that order number. Can you check the number and re-enter it?,Hmmm…we can’t find that order number. Can you check the number and re-enter it?,We can’t find those order details. Please check your order number and re-enter it.,We can’t find those order details. Please check your order number and re-enter it.,We can’t find those order details. Please check your order number and re-enter it.,Hmmm...we can’t find that order number. Can you check the number and re-enter it?,Hmmm...we can’t find that order number. Can you check the number and re-enter it?,We can’t find those order details. Please check your order number and re-enter it.,We can’t find those order details. Please check your order number and re-enter it.,We can’t find those order details. Please check your order number and re-enter it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order number is invalid,Order number is invalid,Order number is invalid,Order number is invalid,Order number is invalid,Order number is invalid
1,orderIdLength,,,,,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,30
1,charLength,,,,,,,,,,,,,,,,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21
