tt,Page,BrandLocale,AV-AU,AV-CA,AV-DE,AV-EU,AV-FR,AV-GR,AV-IT,AV-JP,AV-KR,AV-MX,AV-TR,AV-UK,AV-US,BB-AT,BB-AU,BB-CA,BB-CH,BB-CN,BB-DE,BB-ES,BB-FR,BB-GR,BB-HK,BB-IL,BB-IN,BB-IT,BB-JP,BB-KR,BB-MX,BB-NL,BB-TH,BB-TR,BB-TW,BB-UK,BB-US,BB-ZA,BK-FR,BK-KSA,BK-UAE,BK-UK,BK-US,BU-CA,BU-UK,BU-US,CL-AT,CL-AU,CL-BE,CL-BR,CL-CA,CL-CE,CL-CH,CL-CN,CL-CZ,CL-DE,CL-DK,CL-ES,CL-FI,CL-FR,CL-GR,CL-HK,CL-HU,CL-IL,CL-IN,CL-IT,CL-JP,CL-KR,CL-MX,CL-MY,CL-NL,CL-NO,CL-NZ,CL-PL,CL-RO,CL-SE,CL-TH,CL-TR,CL-TW,CL-UK,CL-US,CL-ZA,DA-BE,DA-CA,DA-DE,DA-ES,DA-FR,DA-IT,DA-NL,DA-TR,DA-UK,DA-US,DJ-UK,DJ-US,EB-CZ,EL-AT,EL-AU,EL-BE,EL-BR,EL-CA,EL-CE,EL-CH,EL-CN,EL-CZ,EL-DE,EL-DK,EL-ES,EL-FR,EL-GR,EL-HK,EL-HU,EL-IL,EL-IN,EL-IT,EL-JP,EL-KR,EL-MX,EL-MY,EL-NL,EL-NO,EL-NZ,EL-PL,EL-RO,EL-SE,EL-SG,EL-TH,EL-TR,EL-TW,EL-UK,EL-US,EL-ZA,FM-EU,FM-UK,FM-US,GG-IT,GG-US,JM-AE,JM-AU,JM-BR,JM-CA,JM-CN,JM-EU,JM-FR,JM-HK,JM-IL,JM-JP,JM-KR,JM-KSA,JM-KW,JM-ME,JM-MX,JM-MY,JM-PH,JM-QA,JM-SG,JM-TH,JM-TR,JM-TW,JM-UK,JM-US,LM-AU,LM-BR,LM-CA,LM-CN,LM-DE,LM-EU,LM-FR,LM-GR,LM-HK,LM-JP,LM-KR,LM-MX,LM-TH,LM-TW,LM-UK,LM-US,LM-ZA,LS-CN,LS-JP,LS-KR,LS-UK,LS-US,MC-AT,MC-AU,MC-BE,MC-BR,MC-CA,MC-CE,MC-CH,MC-CN,MC-CZ,MC-DE,MC-ES,MC-FR,MC-GR,MC-HK,MC-HU,MC-IL,MC-IN,MC-IT,MC-JP,MC-KR,MC-KSA,MC-KW,MC-MX,MC-MY,MC-NL,MC-NO,MC-NZ,MC-PL,MC-QA,MC-RO,MC-SE,MC-TH,MC-TR,MC-TW,MC-UAE,MC-UK,MC-US,MC-ZA,OR-CA,OR-CN,OR-DE,OR-DK,OR-EU,OR-HK,OR-TH,OR-TR,OR-TW,OR-UK,OR-US,SB-CA,SB-EU,SB-US,TF-BR,TF-DE,TF-JP,TF-UK,TF-US
1,CONFIG,timeoutSetting,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
1,HOMEPAGE,closePopup,//button[@id='cboxClose'],//button[@id='cboxClose'],button[id*='reject-all'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],"//button[contains(@class,'banner-close-button ot-close-icon')]",//button[@id='cboxClose'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-pc-btn-handler'],//button[@id='onetrust-reject-all-handler'],//div[@class='r8-welcomer-close'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],"//button[contains(@class,'close-icon')]",//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],,,//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'] | //div[@id='cboxClose'] ,//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//div[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//div[@id='cboxClose'],//a[@class='close-link'],//button[@id='cboxClose'],//div[@id='cboxClose'],//div[@id='cboxClose'],"//div[contains(@class,'popup-offer-close jquery')]",//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],"//div[contains(@class,'popup-offer-close')]","//div[contains(@class,'popup-offer-close jquery-once')]",//div[(@class='popup-offer-close jquery-once-1-processed')],//div[(@class='popup-offer-close jquery-once-1-processed')],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//button[@id='cboxClose'],//div[(@class='popup-offer-close jquery-once-1-processed')],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//div[(@class='popup-offer-close jquery-once-1-processed')],"//div[contains(@class,'popup-offer-close jquery-once')]",//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//div[@id='cboxClose'],"//div[contains(@class,'popup-offer-close')]",//button[@id='onetrust-reject-all-handler'],//a[@class='close-link'],//button[@id='onetrust-reject-all-handler'],//button[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//button[@id='cboxClose'],//button[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//button[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//button[@id='onetrust-reject-all-handler'],"//button[contains(@id,'onetrust-reject-all-handler')]",//button[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@class='gnav-signup-overlay__close js-gnav-signup-overlay-close'],"//button[contains(@class,'gnav-signup-overlay__close js-gnav-signup-overlay-close')]",//button[@class='gnav-signup-overlay__close js-gnav-signup-overlay-close'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],"//button[contains(@class,'close-icon')]",//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@class='gnav-signup-overlay__close js-gnav-signup-overlay-close'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-reject-all-handler'],"//button[contains(@class,'close-icon')]",//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-reject-all-handler'],"//button[contains(@class,'close-icon')]",,//button[@id='onetrust-reject-all-handler'],"//button[contains(@class,'gnav-signup-overlay__close js-gnav-signup-overlay-close')]",//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],,,//button[@id='onetrust-reject-all-handler'],,"//button[contains(@class, 'onetrust-close-btn-handler')]","//button[contains(@id,'onetrust-reject-all-handler')]",//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-reject-all-handler'],,,,//button[@id='onetrust-reject-all-handler'],,,,,,//a[@class='close-link'],,,//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//div[@class='close-btn close'],//button[@id='onetrust-reject-all-handler'],,//button[@id='onetrust-accept-btn-handler'],,//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='cboxClose'],"//i[contains(@class,'icon-close')]",,//div[@class='close-btn close'],//button[@class='onetrust-close-btn-handler'],,//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@class='onetrust-close-btn-handler'],,,,//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//a[@class='close-link'],//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],"//i[contains(@class,'icon-close')]",,//button[@id='cboxClose'],,//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],,"//button[contains(@title,'close')]",//button[@id='cboxClose'],,//button[@id='onetrust-reject-all-handler'],,"//*[contains(@class,'popup')]//a","//button[contains(@class,'close-icon')]",//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//a[@class='close-link'],//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@class='onetrust-close-btn-handler onetrust-close-btn-ui banner-close-button ot-close-icon'],"//button[contains(@class,'close-icon')]",//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],,,,,
1,HOMEPAGE,closeSecondPopup,,"//button[contains(@id,'onetrust-reject-all-handler')]",,"//button[@title='close']|//button[contains(@class,'close')]|//i[contains(@id,'icon-close-button')]","//button[@title='close']|//button[contains(@class,'close')]|//i[contains(@id,'icon-close-button')]",,,,,,"//button[contains(@class,'onetrust-close-btn-handler')]",,,,,"//button[contains(@id,'onetrust-reject-all-handler')]",,,,//button[@id='cboxClose'],,,,,,,,,,//button[@id='cboxClose'],,,,,,,//button[@id='cboxClose'],,,//button[@id='cboxClose'],,button[@class='onetrust-close-btn-handler'],//a[@class='site-email-signup__close'],,,,,,"//button[contains(@class,'onetrust-close-btn-handler')]",,,,//button[@id='onetrust-reject-all-handler'],,,//div[@id='cboxClose'],,//div[@id='cboxClose'],,,,,,,,,,,,//div[@class='sc-close'],,//button[@id='onetrust-reject-all-handler'],,,,"//button[contains(@class,'close-icon')]",,,,,"//button[contains(@id,'onetrust-reject-all-handler')]",//button[@title='close'],"//button[contains(@id,'onetrust-reject-all-handler')]","//button[contains(@id,'onetrust-reject-all-handler')]","//button[contains(@id,'onetrust-reject-all-handler')]",,"//button[contains(@id,'onetrust-reject-all-handler')]",,"//div[contains(@class,'close-button')]",//button[@title='close'],,//div[@class = 'close-button js-close-signup-block jquery-once-1-processed'],//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],,,//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='cboxClose'],,//button[@id='cboxClose'],,//button[@id='cboxClose'],//button[@id='cboxClose'],,,//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],"//span[contains(@class,'drawer-formatter__close')]",//button[@id='cboxClose'],//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='cboxClose'],//button[@id='onetrust-reject-all-handler'],//button[@id='cboxClose'],,//button[@id='cboxClose'],//button[@id='cboxClose'],,//button[@id='cboxClose'],,,,"//button[contains(@title,'Close')]","//button[contains(@title,'Close')]",,,,,,"(//*[contains(@class,'icon icon--close')])[1]",,//a[@class='close-link'],,,,//button[@class='_btn-close__3Zwn_ karte-close'],,,,,,,,,,,,,,,,,//a[@class='interstitial-popup__link button'],,,,,,,,,,,,//button[@id='onetrust-reject-all-handler'],,//button[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],,,,"//button[contains(@class, 'gnav-utility-item-overlay__close')]","//button[contains(@class, 'gnav-utility-item-overlay__close')]",//button[@id='cboxClose'],,//button[@id='cboxClose'],,//button[@id='cboxClose'],,,,//button[@id='onetrust-reject-all-handler'],//img[@alt='Close Chat'],,,,,//button[@id='onetrust-reject-all-handler'],,,//button[@id='cboxClose'],,,,,,,,,,,,,,,,,,,,,,,,,//button[@id='cboxClose'],,,//button[@id='onetrust-accept-btn-handler'],,,,,,,,,,,
1,HOMEPAGE,closeThirdPopup,,,,,,,,,,,,,,,,,,,//button[@id='cboxClose'],,,,,,,,,,,,,,,,,,,,,//button[@id='cboxClose'],,//a[@class='site-email-signup__close'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//button[contains(@id,'onetrust-reject-all-handler')]",,,,,,,//button[@title='close'],,,,.js-info-close.help-content__close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//*[contains(@class,'close-button')]",,,,,//button[@id='cboxClose'],,,,,,
1,HOMEPAGE,countryName,,,,BELGIUM,FRANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZECH REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTUGAL,,,,,,,,,,,,,,,,,,,,,,,,NETHERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORWAY,,,,,SWEDEN,,,,,,,,,,,Denmark,ITALY,,,,,,,,GERMANY,,,Germany,,,
1,HOMEPAGE,chooseLanguage,,,,FRANÇAIS,FRANÇAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PORTUGUÊS,,,,,,,,,,,,,,,,,,,,,,,,NEDERLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORWEGIAN,,,,,SWEDISH,,,,,,,,,,,Danish,ITALIANO,,,,,,,,GERMAN,,,Deutsch,,,
1,GNAVHEADER,gnavPreProductTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//label[contains(text(),'Skincare')]",,,,,,"//label[contains(text(),'Cilt Bakımı')]","//label[contains(text(),'Skincare')]","//label[contains(text(),'Skincare')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//label[contains(text(),'COLOGNES')]","//label[contains(text(),'SHOP')]","//label[contains(text(),'COMPRAR')]","//label[contains(text(),'SHOP')]",,,"//label[contains(text(),'E-SHOP')]",,,,//label[text()='쇼핑하기'],,,"//label[contains(text(),'COLOGNES')]",,,"//label[contains(text(),'SHOP')]",,"//label[contains(text(),'SHOP')]","//label[contains(text(),'SHOP')]",,,,"//label[contains(text(),'SHOP')]",,,,,,,,,,,,,,,,,,,,,,,"//a[contains(text(),'Produkte')]",,,,,,,,,,,,,"//a[contains(text(),'全部產品')]","//a[contains(text(),'TERMÉKEK')]",,,,,,,,,"//a[contains(text(),'Products')]",,,"//a[contains(text(),'Products')]","//a[contains(text(),'PRODUKTY')]",,"//a[contains(text(),'PRODUSE')]",,"//a[contains(text(),'Products')]","//a[contains(text(),'TÜM ÜRÜNLER')]","//a[contains(text(),'全部商品')]",,,,"//a[contains(text(),'Products')]",,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductTypePc,"//a[contains(text(),'MAKEUP')]","//a[contains(text(),'MAKEUP')]","//a[contains(text(),'GESICHT')]","//a[contains(text(),'VISAGE')]","//a[contains(text(),'VISAGE')]",,,"//a[contains(text(),'スキンケア')]",//a[@aria-label='헤어케어'],//a[@aria-label='PEINADO'],,"//a[contains(text(),'SKIN')]","//a[contains(text(),'SKIN & BODY')]",,"//label[contains(@class,'header-nav-section__section-label')]","//label[contains(text(),'Shop')]",,,"//label[contains(@class,'header-nav-section__section-label ')]",,"//label[contains(@class,'header-nav-section__section-label ')]",,"//label[contains(@class,'header-nav-section__section-label')]",,,,"//label[contains(@class,'header-nav-section__section-label')]","//label[contains(@class,'header-nav-section__section-label')]","//label[contains(text(),'Comprar')]",,"//label[contains(@class,'header-nav-section__section-label')]",,"//label[contains(@class,'header-nav-section__section-label')]","//label[contains(text(),'Shop')]","//label[contains(text(),'Shop')]","//label[contains(@class,'header-nav-section__section-label ')]",//a[text()='MAQUILLAGE'],,//a[text()='LIP'],"//a[contains(text(),'Body & Accessories')]","//a[contains(text(),'LIP')]","//a[contains(text(),'SHOP')]","//a[contains(text(),'SHOP')]","//a[contains(text(),'SHOP')]",,"//span[contains(@class,'text-link--style')]",,"//span[contains(text(),'Ver todo')]","//button[contains(@class,'hamburger gnav-header-formatter__hamburger--pc')]","//span[contains(text(),'Ver todo')]",,"//button[contains(@class,'shop-all button-as-link')]",,//span[text()='Alles shoppen'],,//span[text()='Todo'],,//span[text()='Tout Voir'],,"//span[contains(@class,'text-link--style')]",,,,,"//span[contains(@class,'text-link--style')]","//button[contains(@class,'gnav-header-formatter__hamburger--pc')]","//span[contains(text(),'Ver Más')]","//span[contains(@class,'text-link--style')]",,,"//span[contains(@class,'text-link--style')]",,,//span[text()='Se allt'],"//span[contains(@class,'text-link--style')]",,"//span[contains(@class,'text-link--style')]",//span[text()='Shop All'],"//button[contains(@class,'hamburger gnav-header-formatter__hamburger--pc')]|//*[contains(@data-action,'SideNavClick')]",,"//*[contains(text(),'Huidverzorging')]","//label[contains(text(),'Categories')]","//*[contains(text(),'Hautpflege')]","//*[contains(text(),'Cuidado de la piel')]","//*[contains(text(),'Nos Soins')]","//*[contains(text(),'Trattamento della pelle')]","//*[contains(text(),'Huidverzorging')]","//label[contains(text(),'Kategori Göre')]","//label[contains(text(),'Categories')]","//label[contains(text(),'Categories')]","//div[contains(text(),'SHOP BY CATEGORY')]",,,,//a[@href='/products/631/product-catalog/makeup'],//a[text()='Make-up'],//a[text()='Maquiagem'],"//a[contains(text(),'Makeup')]","//a[contains(text(),'MAQUILLAJE')]",,//span[text()='护肤'],,//a[text()='Makeup'],//a[text()='Makeup'],,//a[text()='Maquillage'],//span[text()='ΜΑΚΙΓΙΑΖ'],"//a[contains(text(),'彩妝系列')]",,,,,"//span[contains(text(),'メークアップ')]",//*[text()='리-뉴트리브'],"//span[contains(text(),'MAQUILLAJE')]","//a[contains(text(),'Makeup')]",,,"//a[contains(text(),'Makeup')]",,,,"//*[contains(text(),'Makeup')]","//*[contains(text(),'เมคอัพ')]",,"//a[contains(text(),'保養系列')]",//a[text()='Makeup'],"//a[contains(text(),'Makeup')]",,"//a[contains(@href,'/body-collection')]","//a[contains(text(),'Home')]","//a[contains(text(),'Body')]",,"//a[contains(text(),'SKINCARE')]","//span[contains(text(),'BY SCENT')]","//span[contains(text(),'BATH & BODY')]","//span[contains(text(),'Corpo & Banho')]","//span[contains(text(),'BATH & BODY')]",,"//label[contains(text(),'COLOGNE')]","//span[contains(text(),'COLOGNES')]",,,"//label[contains(text(),'ギフト')]",,,,"//span[contains(text(),'BY SCENT')]",,,"//span[contains(text(),'Colognes')]",,,"//span[contains(text(),'COLOGNES')]",,,//a[@title='SHOP'],"//span[contains(text(),'BATH & BODY')]","//label[contains(text(),'SHOP')]","//*[contains(text(),'COMPRAR')]","//label[contains(text(),'SHOP')]","//div[contains(text(),'面部护理')]","//*[contains(text(),'GESICHT')]","//label[contains(text(),'SHOP')]","//label[contains(text(),'MENU')]","//div[contains(text(),'ΠΡΟΣΩΠΟ')]","(//label[contains(@id,'header_nav_section_label')])[1]","//label[contains(text(),'ブランド')]","//*[contains(text(),'쇼핑 ')]","//*[contains(text(),'TIENDA')]","(//label[contains(@id,'header_nav_section_label')])[1]","(//label[contains(@id,'header_nav_section_label')])[1]","//label[contains(text(),'SHOP')]",//*[@id='header_nav_section_label_1']/text(),//*[@id='header_nav_section_label_1']/text(),,"//label[contains(text(),'シリーズで探す')]","//label[contains(text(),'카테고리')]","//label[contains(text(),'SKINCARE')]","//label[contains(text(),'SKINCARE')]","//a[contains(text(),'Pinsel + Schminktools')]","//a[contains(text(),'FACE')]","//a[contains(text(),'LIP')]",//a[@title='ROSTO'],//a[@title='FACE'],"//a[contains(text(),'ROSTRO')]",,//a[@title='唇妆'],,"//a[contains(text(),'GESICHT')]",,"//a[contains(text(),'TEINT')]",,"//a[contains(text(), '妝前底霜及護膚產品')]","//a[contains(text(),'Primer + arcápolás')]","//*[contains(text(),'מברשות ומוצרי פרו')]","//div[contains(text(),'FACE')]",,"//a[contains(text(),'フェイス')]","//a[contains(@title,'립')]",,,"//a[contains(text(),'LABIOS')]","//a[contains(text(),'Makeup')]",,"//a[contains(text(),'LEPPER')]","//a[contains(text(),'Makeup')]","//a[contains(text(),'PĘDZLE + AKCESORIA')]",,"//a[contains(text(),'SKINCARE')]",,"//a[contains(text(),'Makeup')]","//a[contains(text(),'BAZ + CİLT BAKIMI')]","//a[contains(text(),'彩妝')]",,"//a[contains(@title,'MAKEUP')]",//a[@title='FACE'],"//a[contains(text(),'Primer + Skincare')]","//a[contains(text(),'Skincare')]","//*[contains(text(),'肌肤护理')]",,,"//span[contains(text(),'Viso')]","//span[contains(text(),'護膚')]","//span[contains(text(),'Skincare')]",,"//a[contains(text(),'護膚')]","//*[contains(text(),'Bath & Body')]","//a[contains(text(),'Skincare')]","//span[contains(text(),'Shop All')]","//span[contains(text(),'Produkte')]","//span[contains(text(),'Shop All')]",//a[text()='MAQUIAGEM '],"//a[contains(text(),'Gesicht')]",,,
1,GNAVHEADER,gnavProductTypeHoverPc,,,,,,,,,,,,,,,,,,,"//a[contains(text(),'BESTSELLER')]",,"//a[contains(text(),'MAQUILLAGE')]",,,,,,,,"//a[contains(text(),'MAQUILLAJE')]",,,,,,,"//a[contains(text(),'BESTSELLER')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductSubTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makeup,,Maquiagem,Makeup,Maquillaje,,,,Makeup,,Maquillaje,,Maquillage,,彩妝系列,,,,,メークアップ,메이크업,Maquillaje,Makeup,,,Makeup,,,Makeup,Makeup,,男仕系列,Makeup,Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
