tt,Page,BrandLocale,AV-HK,AV-TH,AV-DK,AV-ME,AV-NO,AV-SE,AV-BR,BB-MY,BB-PH,BB-SG,BB-ME,BB-AR,BB-CE,CL-PH,CL-SG,CL-VN,CL-ME,CL-PT,CL-AR,CL-CO,CL-PA,CL-PE,CL-VE,DA-GR,DA-TW,DA-KR,EL-TB,EL-PH,EL-VN,EL-ID,EL-ME,EL-PT,EL-AR,EL-CO,EL-SV,EL-GT,EL-PA,EL-PE,EL-VE,JM-NZ,JM-DK,JM-GR,JM-IN,JM-ZA,JM-CH,JM-CE,LM-MY,LM-NZ,LM-PH,LM-SG,LM-ME,LM-TR,LS-HK,LS-MY,LS-SG,LS-TW,LS-TH,LS-IT,MC-PH,MC-SG,MC-VN,MC-AR,MC-PE,MC-VE,MC-PA,MC-GT,MC-SV,MC-CR,MC-EC,MC-BO,MC-NI,MC-UY,OR-KR,OR-MY,OR-PH,OR-SG
1,CONFIG,timeoutSetting,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
1,HOMEPAGE,closePopup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,closeSecondPopup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,closeThirdPopup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,countryName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,chooseLanguage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEUTSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavPreProductTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductTypeHoverPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductSubTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductSecSubTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,mppGnavPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,mppGnavPcTwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,navMenuMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
