tt,BrandLocale,AV-UK,BB-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,region,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK
1,regionNumber,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738,27707738
1,brandShort,AV,BB,BB,CL,DA,J,EL,FM,JM,LM,LS,MC,OR,TF
1,brandFull,Aveda,Bobbi Brown,Bumble and bumble,Clinique,Darphin,Dr. Jart+,Estee Lauder,Frederic Malle,Jo Malone,La Mer,Lab Series,Mac,Origins,Too Faced
1,locale,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK
1,localeCookie,,,,,,,,,,,,,,
1,status,active,active,active,active,active,active,active,active,active,active,active,active,active,active
1,vendor,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson,LivePerson
1,delivery,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js,^https:\/\/lpc.*lpChatV.*\.js
1,timeZone,,,,,,,,,,,,,,
1,openingHours,,,,,,,,,,,,,,
1,botTitle,,,,,,,,,,,,,,
1,agentTitle,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta,Jolanta
1,genericTitle,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us,Message us
1,messageIgnore,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. ,ELC Automated Test. Please ignore. 
1,messageGeneric,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola,Hi Jola
1,userName,,,,,,,,,,,,,,
1,userEmail,,,,,,,,,,,,,,
1,prodURL,https://www.aveda.co.uk,https://www.bobbibrown.co.uk,https://www.bumbleandbumble.co.uk,https://www.clinique.co.uk,https://www.darphin.co.uk,https://www.drjart.co.uk,https://www.esteelauder.co.uk,https://www.fredericmalle.co.uk,https://www.jomalone.co.uk,https://www.cremedelamer.co.uk,https://www.labseries.co.uk,https://www.maccosmetics.co.uk,https://www.origins.co.uk,https://www.toofaced.co.uk
1,mppURL,/products/17976/best-sellers,/products/14006/skincare,/hair-shampoo-conditioner,/best-sellers,/products/8502/skincare/category/serums,/cleansers,/products/681/product-catalog/skin-care,/products/19566/perfume,/most-loved,/moisturisers/moisturising-face-creams-face-lotions,/skincare-moisturise,/bestsellers,/moisturisers,/products/23475/face-makeup/foundation
1,sppURL,/product/5311/62089/hair-care/shampoo/shampure-nurturing-shampoo#/shade/250_ml,/product/14006/77812/skincare/vitamin-enriched-eye-base,/product/19052/109452/care/masques/hairdressers-invisible-oil-ultra-rich-mask#/sku/160798,/product/1687/104214/skin-care/moisturisers/new-clinique-smart-clinical-repairtm-wrinkle-correcting-cream,/product/8432/21522/skincare/category/best-sellers/hydraskin-light-gel-cream/our-1-facial-moisturiser,/product/28253/94842/cleansers/ctrl-a-teatreementtm-cleansing-foam?size=120ml,/product/685/104163/product-catalog/skincare/eye-care/advanced-night-repair-eye-supercharged-gel-creme/synchronized-multi-recovery?size=15ml,/product/19654/53586/body-line/body-wash#/sku/82495,/product/25946/110447/colognes/myrrh-tonka-cologne-intense?size=10,/product/5834/12343/face/moisturisers/creme-de-la-mer/moisturiser-for-dry-skin#/sku/26766,/product/1530/87315/moisturise/max-ls-cream/anti-age?size=50ml,/product/13847/1231/products/makeup/face/foundation/studio-fix-fluid-spf-15?shade=NC20,/product/15352/108407/skincare/moisturise/moisturiser/ginzingtm/energizing-gel-cream--new-supercharged-formula#/sku/159447,/product/23475/76652/face-makeup/foundation/born-this-way-24-hour-longwear-matte-foundation/undetectable-oil-free-24-hour-matte-foundation#/shade/Golden_Beige
