tt,BrandLocale,AV-US,BB-US,BU-US,CL-CA,CL-US,EL-CA,EL-US,LM-US,MC-CA,MC-US,OR-US,SB-US,AV-CA
1,timeoutSetting,220000,180000,180000,180000,220000,220000,220000,180000,220000,220000,220000,180000,220000
1,emulationDevice,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5
1,offerManagerUrl,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1
1,adminToolUrl,,,,,,,,,,,/shared/admin/protected/index.tmpl,,
1,loyAdminUrl,,,,,,,,,,,[href='/shared/admin/protected/tools/loyalty/loyalty_admin.tmpl'],,
1,restrictedProductUrl,,,,,,,,,,,,,
1,checkoutButtonId,"//a[contains(@class,'checkout-buttons-content__item button continue-checkout mobile-hidden') ]",//a[@data-test-id='cart_primarycheckout' or @class='continue-checkout'],a.checkout-panel__content.button.checkout-button,//a[@data-test-id='cart_primarycheckout' or @class='checkout-btns button'],//*[@data-test-id='cart_primarycheckout'] | //*[data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout' or @class='continue-checkout'],//a[@data-test-id='cart_primarycheckout' or @class='continue-checkout'],//*[@class='btn btn-primary form-submit continue-checkout'] | //*[@class='button btn btn--big btn-primary js-checkout-buttons-unhide'],//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],.checkout-buttons-content__container a.checkout-buttons-content__item.button.continue-checkout,"//a[contains(@class,'checkout-buttons-content__item button continue-checkout mobile-hidden') ]"
1,selectsampleproduct,,,,,,,,,,//div[@class='samples__button--skip-link']//a[@id='no-thanks'],,,
1,continueSample1,"//a[@data-test-id='form_checkout_samples_continue'] | //div[contains(@class,'samples-content__button samples-content__button--checkout')]//input[@value='Checkout']",//input[@data-test-id='form_checkout_samples_continue' or @class='btn btn-primary form-submit' or @value='Continue Checkout'],(//a[@data-test-id='form_checkout_samples_continue'])[2] | (//a[@data-test-id='form_checkout_samples_continue'])[1],"//a[contains(@class,'skip-to-checkout__link')] | //a[@class='samples_continue_checkout' or @id='no-thanks']","//a[contains(@class,'skip-to-checkout__link')] | //a[@class='samples_continue_checkout' or @id='no-thanks']",//a[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],//a[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],//a[@data-test-id='form_checkout_samples_continue' or @class='js-continue-checkout-button'],//div[@data-test-id='form_checkout_samples_continue' or @class='continue-shopping__button'],//input[@data-test-id='form_checkout_samples_continue' or @id='add-samples'],//*[@data-test-id='form_checkout_samples_continue'] | //*[@data-test-id='cart_button_continuecheckout'],"//div[contains(@class,'js-continue-checkout')] //a","//a[@data-test-id='form_checkout_samples_continue'] | //div[contains(@class,'samples-content__button samples-content__button--checkout')]//input[@value='Checkout']"
1,continueSample2,//div[@class='samples-content__button samples-content__button--checkout']//input[@class='button form-submit'],,,//input[@data-test-id='form_checkout_samples_continue' or @id='add-samples'],//input[@data-test-id='form_checkout_samples_continue' or @id='add-samples'],//input[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],//input[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],,"//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]","//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]",,,//div[@class='samples-content__button samples-content__button--checkout']//input[@class='button form-submit']
1,guestUserLink,,,,//a[@data-test-id='form_signin_registernow' or @id='new-account-link'],//a[@data-test-id='form_signin_registernow' or @id='new-account-link'],"//*[contains(@class,'js-continue-guest-link')]","//*[contains(@class,'js-continue-guest-link')]",,"//*[contains(@class,'js-new-user-link signin-panel__link')]","//*[contains(@class,'js-new-user-link signin-panel__link')]",,,
1,guestUserId,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS,#form--checkout_signin_new_user--field--NEW_USER_EMAIL_ADDRESS
1,continueAsGuest,//input[@data-test-id='form_checkout_signin_new_user_submit' or @name='checkout_signin_new_user-submit' or @id='checkout_signin_new_user-submit'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @class='new-account__submit' or @id='checkout_signin_new_user-submit'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @id='checkout_signin_new_user-submit' or @name='checkout_signin_new_user-submit'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @class='button form-submit' or @value='Continue'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @class='button form-submit' or @value='Continue'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @id='checkout_signin_new_user-submit' or @value='Continue as guest'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @id='checkout_signin_new_user-submit' or @value='Continue as guest'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @class='new-account__submit' or @id='checkout_signin_new_user-submit'],//input[@data-test-id='form_checkout_signin_new_user_submit'],//input[@data-test-id='form_checkout_signin_new_user_submit'],//input[@data-test-id='form_checkout_signin_new_user_submit' or @id='checkout_signin_new_user-submit' or @name='checkout_signin_new_user-submit'],#checkout_signin_new_user-submit,//input[@data-test-id='form_checkout_signin_new_user_submit' or @name='checkout_signin_new_user-submit' or @id='checkout_signin_new_user-submit']
1,enterFirstName,//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name'],//*[@id='shipping-first-name-input' or @name='first_name']
1,validatefirstname,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,shipping-first-name-input,form--address_shipping--field--FIRST_NAME,shipping-first-name-input
1,enterFirstName1,,,,,,,,,,,,,
