tt,BrandLocale,AV-AU,AV-CA,AV-DE,AV-EU,AV-FR,AV-GR,AV-IT,AV-JP,AV-KR,AV-MX,AV-TR,AV-UK,AV-US,BB-AT,BB-AU,BB-CA,BB-CH,BB-CN,BB-DE,BB-ES,BB-FR,BB-GR,BB-HK,BB-IL,BB-IN,BB-IT,BB-JP,BB-KR,BB-MX,BB-NL,BB-RU,BB-TH,BB-TR,BB-TW,BB-UK,BB-US,BB-ZA,BK-FR,BK-RU,BK-UAE,BK-UK,BK-US,BU-CA,BU-UK,BU-US,CL-AT,CL-AU,CL-BE,CL-BR,CL-CA,CL-CE,CL-CH,CL-CN,CL-CZ,CL-DE,CL-DK,CL-ES,CL-FI,CL-FR,CL-GR,CL-HK,CL-HU,CL-IL,CL-IN,CL-IT,CL-JP,CL-KR,CL-MX,CL-MY,CL-NL,CL-NO,CL-NZ,CL-PL,CL-RO,CL-RU,CL-SE,CL-TH,CL-TR,CL-TW,CL-UK,CL-US,CL-ZA,DA-BE,DA-CA,DA-DE,DA-ES,DA-FR,DA-IT,DA-NL,DA-TR,DA-UK,DA-US,DJ-KR,DJ-UK,DJ-US,EB-CZ,EL-AT,EL-AU,EL-BE,EL-BR,EL-CA,EL-CE,EL-CH,EL-CN,EL-CZ,EL-DE,EL-DK,EL-ES,EL-FR,EL-GR,EL-HK,EL-HU,EL-IL,EL-IN,EL-IT,EL-JP,EL-KR,EL-MX,EL-MY,EL-NL,EL-NO,EL-NZ,EL-PL,EL-RO,EL-RU,EL-SE,EL-SG,EL-TH,EL-TR,EL-TW,EL-UK,EL-US,EL-ZA,FM-EU,FM-UK,FM-US,GG-HK,GG-US,JM-AU,JM-BR,JM-CA,JM-CN,JM-EU,JM-FR,JM-HK,JM-JP,JM-KR,JM-ME,JM-MY,JM-PH,JM-RU,JM-SG,JM-TH,JM-UK,JM-US,LM-AU,LM-BR,LM-CA,LM-CN,LM-DE,LM-EU,LM-FR,LM-GR,LM-HK,LM-JP,LM-KR,LM-MX,LM-RU,LM-TH,LM-TW,LM-UK,LM-US,LM-ZA,LS-CN,LS-JP,LS-KR,LS-UK,LS-US,MC-AT,MC-AU,MC-BE,MC-BR,MC-CA,MC-CE,MC-CH,MC-CN,MC-CZ,MC-DE,MC-ES,MC-FR,MC-GR,MC-HK,MC-HU,MC-IL,MC-IN,MC-IT,MC-JP,MC-KR,MC-KSA,MC-MX,MC-MY,MC-NL,MC-NO,MC-NZ,MC-PL,MC-RO,MC-RU,MC-TH,MC-TR,MC-TW,MC-UAE,MC-UK,MC-US,MC-ZA,OR-CA,OR-CN,OR-DE,OR-DK,OR-EU,OR-HK,OR-RU,OR-TH,OR-TR,OR-TW,OR-UK,OR-US,SB-CA,SB-EU,SB-RU,SB-TR,SB-US,SB-ZA,TF-BR,TF-DE,TF-JP,TF-UK,TF-US
1,emulationDevice,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11
1,shadeName,23/Watermelon,975/Sweet Grass,06/Snapdragon,,,,,,,,,16/Passion Fruit,02/Sweet Pitaya,,Sand (N-032)," Almond (C-084 / 7) ",,,,,Chestnut,,Natural,,,Golden (W-074)," N-010 ニュートラルポーセリン ",," Beige (N-042) ",,,Honey (W-064),,," Almond ",Beige (N-042 / 3),,,,,Tempting Rose,Nude for Love - 168,Brown,Brown,Brown,,WN 04 Bone (VF),,CN 28 Ivory (VF),CN 08 Linen,,,61 Ivory,,CN 08 Linen,,,,WN 01 Flax,,,,Black,WN 04 Bone,,61 Ivory,,Honey Wheat,63 Fresh Beige,,,CN 74 Beige,,,CN 02 Breeze,,,,,WN 01 Flax,CN 08 Linen,CN 02 Breeze,,,,,,,,,,,Fair-Light,,Fair-Light,,,136454,,9587,,20587,,,,2W2 RATTAN,,,44632,,,,,,,15 シェル（オンライン限定色）,83494,9587,,,,,,9580,,,,5W2 Rich Caramel,,,1C0 Shell,5W2 Rich Caramel,,,,Musc Ravageur Body Butter,,Nude Glow,,,,,,,,,,,,,,,,,,Pearl,,,12号自然色,Medium,,,,,12 ニュートラル アイボリー,,Sandstone,,,12 Pearl,230 Light Ochre,230 Light Ochre,Sandstone,,,,,,,,,C4,,,,316 Devoted To Chili,,C4,,,,,,,,," ゴールド ディポジット ",,,,,,,,,,,,,,,C4,C4,,,,Fuchsia Fields,,,,,,,,Warm,730 Very Deep Warm,,,,,0.2 - Very Fair With Warm/ Peachy Undertone,,Ivory,Maple,ゴールデン,Maple,In Big Truffle
1,stickyShadeName,,,,,,,,,,,,,,,Almond (C-084)," Almond (C-084 / 7) ",,,,,Chestnut,,Natural,,,Almond (C-084 / 7),N-032 サンド,," Natural Tan ",,,Sand,,," Cool Natural (C-056) "," Almond (C-084 / 7) ",,,,,Intoxicating Rouge,Crystal Rose,,,,,Neutral,,114 Golden,18 Stay Cream,,,61 Ivory,,01 Flax,,,,WN 01 Flax,,,,WN 01 Flax,CN 70 Vanilla,,63 フレッシュ ベージュ,,Meringue,62 Rose Beige,,,WN 04 Bone,,,,,,,,0.75 Custard,WN 76 Toasted Wheat,WN 16 Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dune / $210.00,,,03号暖瓷白 / ¥1290,21A = 200 Dune - Für helle Haut mit kühlem Unterton / €110,,,,,"110 シェル / 税込 ¥15,620",,Sandstone,,,"12 Natural / $5,500",200 Dune / £105,Caramel,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Original,,,,,,,,Warm,700 Very Deep Neutral,,,,,0.5 - Fair With Cool Undertone,,,,,,
1,outOfStockShade,06/Bayberry,07/Pomegranate,20/Goji,,,,,,,,,20/Goji,06/Bayberry,,Neutral Walnut (N-090),Mahogany,,,,,Blue Raspberry,,Pink Glow,,," Medium ",L09 ベアポピー,,Bare Nectar,,,Pink Glow,,,Bare Pink Sparkle,Mahogany,,,,,Kiss from a Rose,Kiss from a Rose,,,,,WN 22 Ecru,,WN 76 Toasted Wheat,CN 78 Nutty,,,62 Rose Beige,,28 Stay Walnut,,,,CN 0.5 Shell,,,,WN 118 Amber,CN 52 Neutral,,63 フレッシュ ベージュ,,Invisible Blend,62 Rose Beige,,,CN 32 Buttermilk,,,24 Stay Tea,,,,,CN 08 Linen,CN 78 Nutty,CN 02 Breeze,,,,,,,,,,,Fair-Light,,Fair-Light,,,,,,,,,,,6W1 Sandalwood,,,7C2 Sienna,,,,,,,77 ピュア ベージュ（オンライン限定色）,5W2 Rich Caramel,3W1 Tawny,,,,,3W1 Tawny,3W1 Tawny,,,,5W2 Rich Caramel,,,6W1 SANDALWOOD,4W1 Honey Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC20,,Nippy's Shimmery Cinamon,,,,,,,,,エスカンダロ！,,,,,,,,,,,,,,,Breathing Fire,Sultry Move,,,,,,,,,,,,,,,,,,4.2 - Dark With Neutral Undertone,,Queen B,Queen B,Queen B,Queen B,Sell Out
1,shadeNameMpp,04/Cana,975/Sweet Grass,16/Passion Fruit,,,,,,200ml,33.8 fl oz/1 litre,,16/Passion Fruit,04/Cana,,Warm Honey (W-066),Cool Sand (C-036 / 2.25),,,,,Ivory,,Natural,,,Warm Honey (W-066),N-032 サンド,,Warm Honey (W-066),,,Warm Porcelain,,,Warm Honey,Warm Porcelain (W-016),,,,,Intoxicating Rouge,Nude for Love - 168,Brown,Brown,Brown,,WN 04 Bone (VF),,CN 28 Ivory (VF),CN 08 Linen,,,61 Ivory,,WN 01 Flax,,,,WN 01 Flax,,,,Black,CN 74 Beige,,62 Rose Beige ローズ ベージュ,,Honey Wheat,63 Fresh Beige,,,WN 04 Bone,,,CN 02 Breeze,,,,,WN 01 Flax,WN 04 Bone,WN 16 Buff,,,,,,,,,,,,,Deep Tan - Deep,,,,,,,,,17 Bone 1W1,,2W2 RATTAN,,,1C1 COOL BONE,,,,,,,16 エクリュ,1C0 쉘 (NEW),4N1 Shell Beige,,,,,2C2 PALE ALMOND,2C2 PALE ALMOND,,,,1C1 Cool Bone,,,1C0 Shell,1C0 Shell,,,,Musc Ravageur Body Butter - $235.00,,Nude Glow,,,,,,,,,,,,,,,,,,Sandstone,,,12号自然色,Fair,,,,,12 ニュートラル アイボリー,,Sandstone,,,12 Pearl,230 Light Ochre,230 Light Ochre,Sandstone,,,,,,,,,N6.5,,,,926 Dubonnet Buzz,,N6.5,,,,,,,,,ゴールド ディポジット,,,,,,,,,,,,,,,N6.5,Reflects Bronze,,,,Fuchsia Fields,,,,,,,,Warm,710 Very Deep Cool,,,,,0.3 - Fair With Neutral Undertone,,Ivory,Maple,スノー,Maple,Yummy Bear
1,subscriptionFreq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 45 days,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,每30天,,,,,,,,,,,,,Deliver every 45 days,,Deliver every 45 days,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subscriptionFreqMob,Deliver every 45 days,Deliver every 45 days,,,,,,,,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,每30天,,,,,,,,,,,,,Deliver every 45 days,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subscriptionFreqSpp,Deliver every 45 days,Deliver every 45 days,,,,,,,,,,,Deliver Every 2 Months,,,,,,,,,,,,,,,,,,,,,,,Every 45 days,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,每30天,,,,,,,,,,,,,Deliver every 30 days,,Deliver every 45 days,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,,,Deliver every 30 days,,,,,Deliver every 45 days,,,,,,
1,subscriptionFreqSppMob,Deliver every 45 days,Deliver every 45 days,,,,,,,,,,,Deliver Every 2 Months,,,,,,,,,,,,,,,,,,,,,,,Every 45 days,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 weeks,,,,,,,,,,,Deliver every 45 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,每30天,,,,,,,,,,,,,Deliver every 30 days,,Deliver every 30 days,,,,Deliver every 30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,,,Deliver every 30 days,,,,,,,,,,,
1,qtyVal,8,8,8,,,,,,8,8,,8,8,,,8,,,,,,,,,,,8,,,,,,,,,,,,,,,6,,,,,8,,8,8,,,8,,4,,,,4,,,,4,8,,8,,5,8,,,8,,,,,,,,8,8,4,,,,,,,,,,,8,8,8,,,,,3,,6,,,,4,,,3,,,,,,,8,7,3,,,,,,6,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,8,,,,6,,,,,,6,,,,6,,,,,,,6,6,6,6,8
