tt,Page,BrandLocale,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,TF-JP
1,"CONFIG ",timeoutSetting,180000,180000,180000,180000,180000,180000,180000,180000,180000
1,"CONFIG ",Mockcookievalue,0,0,0,0,0,0,0,0,0
1,ADMIN,prodCatUrl,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=,/shared/prodcat/sku_info.tmpl?SKU_ID=
1,ADMIN,TestOrderUrl,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0,/shared/testorders.tmpl?testing=1&prodpp=0
1,ADMIN,TestOfferUrl,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1,/shared/offers/offers2.tmpl?testing_global_offers=1
1,ADMIN,isShoppable,//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[8]/td[3]
1,ADMIN,isDisplayable,//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3],//*[@id='Sku_Details']/table[9]/tbody/tr[7]/td[3]
1,ADMIN,productUrl,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a,//td[text()='displayableProduct']//..//td[3]/a
1,ADMIN,noDisplayableProductError,"//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]","//*[contains(text(),'NO DISPLAYABLE PRODUCT')]"
1,SPP,sppPopUp,//*[@class='drawer-formatter__close'],//*[@class='_btn-close__2VNh_ karte-close'],//*[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//*[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//*[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],,//*[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//*[@class='onetrust-close-btn-handler banner-close-button ot-close-icon'],//*[@class='drawer-formatter__close']
1,SPP,sppPageProdHeader,//h1[@data-test-id='product_name'],//div[@class='product-full__title'],//h5[@data-test-id='product_subdisplay_name'],//h1[@class='product-full__name'],"//div[contains(@class,'sd-product-spp spp-formatter')]",//h1[@class='product-full__title'],//h1[@class='product-full__name'],//div[@class='sd-product-spp__product-full'],//h1[@data-test-id='product_name']
1,SPP,sppPageProdHeaderMob,//h1[@data-test-id='product_name'],//div[@class='product-full__title'],//h5[@data-test-id='product_subdisplay_name'],//h1[@class='product-full__name'],"//div[contains(@class,'sd-product-spp spp-formatter')]",//h1[@class='product-full__title'],//h1[@class='product-full__name'],//div[@class='sd-product-spp__product-full'],//h1[@data-test-id='product_name']
1,SPP,cartCountValue,//*[@class='utility-nav__cart-count page-utilities__cart-count'],//*[@class='site-bag__link-count'],//*[@class='header-gnav-cart__count hide_if_zero'],//*[@class='gnav-util__icon__cart-count'],//*[@class='gnav-util__icon__cart-count'],//*[@class='gnav-cart__qty js-cart_count'],//*[@class='gnav-util__icon__cart-count'],//*[@class='gnav-util-cart__count js-gnav-util-cart-count'],//*[@class='utility-nav__cart-count page-utilities__cart-count']
1,SPP,gnavCart,"//*[contains(@class,'utility-nav__cart-button')]",//*[@data-test-id='cart_overlay_checkout'],,//*[@href='/checkout/viewcart.tmpl'],"//*[contains(@href,'/checkout/viewcart.tmpl')]","//*[contains(@href,'/checkout/viewcart.tmpl')]",//*[@class='button button--inverted button--full'],"//*[contains(@href,'/checkout/viewcart.tmpl')]",//*[@href='/checkout/viewcart.tmpl']
1,SPP,gnavCartMob,"//*[contains(@class,'utility-nav__cart-button')]","//*[contains(@href,'/checkout/viewcart.tmpl')]",,//*[@href='/checkout/viewcart.tmpl' and @data-test-id='cart_overlay_checkout'],"//*[contains(@href,'/checkout/viewcart.tmpl')]","//*[contains(@href,'/checkout/viewcart.tmpl')]","(//*[contains(@class,'gnav-util__icon--cart')])[2]","//*[contains(@href,'/checkout/viewcart.tmpl')]","//*[contains(@href,'/checkout/viewcart.tmpl')]"
1,SPP,addToBagSPP,"//button[contains(@data-test-id,'add')]",//*[@class='product-full__add-to-bag']//*[@data-test-id='add-to-cart'],"//button[contains(@data-test-id,'add_to_bag_btn')]",//*[@class='product-full__cta']//*[@data-test-id='add-to-cart'],"//button[contains(@data-test-id,'add_to_bag_btn')]",//*[@class='sticky-add-to-bag__inner ']//*[@data-test-id='add-to-cart'],"//*[@class='product-full__add-bag-container']//*[contains(@data-test-id,'add-to-cart')]","//button[contains(@data-test-id,'add_to_bag_btn')]","//button[contains(@data-test-id,'add')]"
1,SPP,addToBagSPPPop,,,,,,,,,
1,SPP,javaAlertPopup,,,,,,,,e.labseries,
