tt,BrandLocale,JM-FR,JM-PT,CL-DE,CL-IT,CL-ES,CL-FR,CL-GR,CL-IL,CL-SE,CL-TR,CL-ZA,AV-EU,AV-FR,AV-DE,CL-FI,EL-BE,EL-DK,EL-ES,EL-FR,EL-GR,EL-IL,EL-RU,EL-ZA,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-RU,BB-TR,BB-ZA,MC-PL,MC-NO,MC-FR,MC-DE,MC-BE,SB-EU,JM-ME,OR-RU,MC-KSA,MC-ES,OR-EU,MC-TR,MC-GR,MC-RO,MC-ZA,LM-DE,MC-IN,EL-DE,EL-TR,MC-IL,MC-HU,DA-IT,MC-AT,LM-EU,BK-FR,MC-RU,CL-RU,EB-CZ,TF-DE
1,searchKeyword,Jasmine,Jasmine,LIPS,LIPS,LIPS,EYES,EYES,LIPS,Clinical,EYES,EYES,Lips,Lips,Eyes,Eyes,Lips,Lips,Lips,Lips,Lips,Lips,Lips,Lips,Lips,Lips,Lips,Eyes,Lips,Lips,Lips,Lips,Lips,Lips,Lips,LIPS,Lips,EYES,Jasmine,cre,EYES,LIPS,Cream,LIPS,LIPS,LIPS,LIPS,SERUM,LIPS,LIPS,LIPS,LIPS,LIPS,LIPS,LIPS,SERUM,LIPSTICK,LIPS,LIPS,LIPS,PEACH
1,predictiveLink,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,&search_type=predictive_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,predictiveContent,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,&search_type=predictive_content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,category,E-SHOP,LOJA,Alle ansehen,Todo,Todo,Tout Voir,Προϊόντα,Shop All,Se allt,Tüm Ürünler,Shop All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subCategory,LES COLLECTIONS,POR FRAGRÂNCIAS,Makeup,Fragancias,Fragancias,Parfum,Μακιγιάζ,טיפוח העור,Makeup,Makyaj,Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,subCategory1,English Pear & Freesia,English Pear & Freesia,Foundation,Aromatics Elixir,Aromatics Elixir,Aromatics Elixir,Primer,Clinique Smart,Foundation,Allık,Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,hyperlinkKeyword,Floral,Floral,Lip Liner,Correctores,Correctores,Rouge à lèvres,Καθαρισμός,מייק-אפים,Ansiktskräm,Maskeler,Serum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,invalidWord,Hello,Hello,Hello,Hello,Hello,Hello,Hello,Hello,Hello,Hello,Hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bpReturnUserEmailId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testcssqa01+207@gmail.com,
1,bpReturnUserPassword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Password@123,
1,localeCookie,,pt_PT,,,,,,,,,,fr_BE,fr_FR,,,,,,,,,,,,,,,,,,,,no_NO,,,,,,,,,it_IT,,,,,,,,,,,,,nl_NL,,,,en_CZ,de_DE
