tt,Page,BrandLocale,AV-MX,BB-MX,CL-BR,CL-CE,CL-MX,EL-CE,EL-BR,EL-MX,JM-BR,JM-MX,LM-BR,LM-MX,MC-BR,MC-CE,MC-MX,OR-MX,TF-BR
1,CONFIG,timeoutSetting,140000,120000,140000,140000,140000,140000,140000,140000,140000,140000,160000,140000,120000,140000,140000,140000,140000
1,GNAVHEADER,searchIcon,"//i[@class='icon icon--search']|//a[contains(@class,'site-header__menu-item js-site-header__menu-item')]","(//body[contains(@class,'device-pc')]//child::label[contains(@class,'header-nav-section__section-label')])[3]|//body[contains(@class,'device-mob')]//child::div[contains(@class,'js-site-header-formatter__search-icon')]","//button[contains(@class,'js-gnav-search-button')]","//button[contains(@class,'js-gnav-search-button')]","//button[contains(@class,'js-gnav-search-button')]",//button[@class='page-utilities__search-button button-reset'],//button[@class='page-utilities__search-button button-reset'],//button[@class='page-utilities__search-button button-reset'],//button[@class='sc-fzomuh gHzJiR elc-gnav-search-button js-gnav-search-button'],"//button[contains(@class,'js-gnav-search-button')]","//div[contains(@class,'menu__item-search-label')][1]","//body[contains(@class,'-mob')]//li[contains(@class,'menu__item--search')]",//a[@class='header-search__icon'],//a[@class='header-search__icon'],//a[@class='header-search__icon'],(//a[@class='gnav-util__icon icon icon--search'])[1]|(//div[@class='gnav-util__content__inner'])[2],"//div[@class='pc-hidden']//button[contains(@class,'gnav-util__icon--search')]"
1,GNAVHEADER,overlayInputField,"//input[contains(@class,'search-form__field search-term js-end-search-term')]",//form[@action='/esearch']//child::input[@id='search'],"//input[contains(@class,'js-input-search-field')]","//input[contains(@class,'js-input-search-field')]","//input[contains(@class,'js-input-search-field')]",//input[@id='search'],//input[@id='search'],//input[@id='search'],//input[@name='search-input'],//input[@name='search-input'],//input[@id='search'],//input[@id='search'],"//input[contains(@class,'header-search__field js-search-field')]","//input[contains(@class,'header-search__field js-search-field')]","//input[contains(@class,'header-search__field js-search-field')]","(//input[contains(@class,'search-term--header')])[1]|(//input[contains(@class,'search-term--header')])[2]",//input[@name='search'][1]
1,SEARCHRESULTS,searchMessageOverlay,"(//div[contains(@class,'result search-suggestions__item')])[1]","//span[contains(@class,'search-count')]",//div[@class='sc-fzoMdx uYzkI elc-search-results-message-wrapper js-search-results-message-wrapper'],//div[@class='sc-fzoMdx uYzkI elc-search-results-message-wrapper js-search-results-message-wrapper'],//div[@class='sc-fzoMdx uYzkI elc-search-results-message-wrapper js-search-results-message-wrapper'],//div[@class='typeahead-summary js-summary'],//div[@class='typeahead-summary js-summary'],//div[@class='typeahead-summary js-summary'],"//div[contains(@class,'js-search-results-message-wrapper')]","//div[contains(@class,'js-search-results-message-wrapper')]",//a[@class='search-suggestions__link'][1],//span[@class='search-count'],"//a[contains(@class,'header-search__term-result link')][1]",//span[@class='search-count'],//span[@class='search-count'],(//a[@class='typeahead-search__suggestion'])[2]|(//a[@class='typeahead-search__suggestion'])[1],"(//body[contains(@class,'device-pc')]//a[@class='search-suggestions__link'])[2]|(//body[contains(@class,'device-mobile')]//a[@class='search-suggestions__link'])[1]"
1,SEARCHRESULTS,predectiveProduct,"//div[contains(@class,'esearch-nav-products')]|(//img[@class='esearch-product--typeahead__img  lazyloaded'])[2]","(//img[contains(@class,'once-1-processed lazyloaded')])[1]|//li[contains(@class,'product-result first')]","//div[contains(@class,'js-grid-item-product')][1]","//div[contains(@class,'js-grid-item-product')][1]","//div[contains(@class,'js-grid-item-product')][1]",//div[@class='product-result__name'][1],//div[@class='product-result__name'][1],//div[@class='product-result__name'][1],"//div[contains(@class,'js-product-images-wrapper lazyloaded')][1]","//div[contains(@class,'js-product-images-wrapper lazyloaded')][1]","//div[contains(@class,'list--item')][1]|//div[contains(@class,'product-brief mobile-hidden')][1]",(//div[@class='esearch-product--typeahead--mobile pc-hidden'])[1]|(//div[@class='product-brief__header'])[1],"//div[contains(@class,'header-search__result__body')][1]",//div[@class='header-search__result__body'][1],//div[@class='header-search__result__body'][1],(//div[@class='js-product product-brief'])[3]|(//div[@class='product-brief__detail'])[1],"(//body[contains(@class,'device-pc')]//ul[contains(@class,'typeahead-product-results clearfix')])[2]|(//body[contains(@class,'device-mobile')]//ul[contains(@class,'typeahead-product-results clearfix')])[1]"
1,MPP,firstProduct,"//div[contains(@class,' product-brief__container')][1]","(//div[contains(@class,'js-product-brief__image-wrapper')])[1]","//a[contains(@data-test-id,'clickable_wrapper')][1]","//div[contains(@class,'elc-product-brief js-product-brief')][1]","//a[contains(@data-test-id,'clickable_wrapper')][1]",//div[@class='result product-brief first']|(//a[@class='search-product__image'])[1],//div[@class='result product-brief first last']|(//a[@class='search-product__image'])[1],//div[@class='result product-brief first']|//div[@class='search-product result   first'],//div[@class='elc-main-content-section js-main-content-section'],//div[@class='elc-main-content-section js-main-content-section'],//div[@class='product-brief__info'][1],//a[@class='product-brief__extras-link js-spp-link'][1]|//div[@class='product-brief__container js-product-brief__container'][1],,,,"//div[contains(@class,'product-grid__item js-grid-item')][1]",//a[@class='product-brief__product-link js-spp-link'][1]
1,HOMEPAGE,closePopup,"//button[@id='onetrust-reject-all-handler']|//button[contains(@class,'onetrust-close-btn-ui')]","//button[contains(@class,'close-btn-ui')]",//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@class='gnav-signup-overlay__close js-gnav-signup-overlay-close'],//button[@class='gnav-signup-overlay__close js-gnav-signup-overlay-close'],//button[@id='onetrust-reject-all-handler'],"//button[contains(@class,'onetrust-close-btn-handler one')]","//button[contains(@class,'onetrust-close-btn-handler one')]","//button[contains(@class,'onetrust-close-btn-ui')]","//button[contains(@class,'onetrust-close-btn-ui')]",//button[@id='onetrust-accept-btn-handler'],"//button[contains(@class,'banner-trigger')]",//button[@id='onetrust-accept-btn-handler'],"//button[contains(@class,'onetrust-close-btn-ui')]","//button[contains(@class,'onetrust-close-btn-handler one')]"
1,HOMEPAGE,closeSecPopup,"//button[contains(@class,'interstitial_close_cbox_close')]","//button[contains(@id,'cboxClose')]",//button[@id='cboxClose'],"//a[contains(@class,'close-link')]",//button[@id='cboxClose'],,"//button[contains(@class,'onetrust-close-btn-handler one')]",//button[@id='onetrust-accept-btn-handler'],,"//button[contains(@class,'content-block-sitewide-banner__trigger')]",,,"//button[contains(@class,'js-content-block')]",,//span[@class='icon-remove'],,
1,HOMEPAGE,closeThirdPopup,,,,,(//button[@class='ab-close-button'])[1],,,,,,,,,,,,
1,MPP,quickShop,"(//a[contains(@class,'_quickshop')])[2]|(//a[contains(@class,'_quickshop')])[1]",,(//button[@aria-label='Compre Agora'])[1],(//button[@class='elc-product-quick-view-button js-product-quick-view-button'])[1],//button[@class='elc-product-quick-view-button js-product-quick-view-button'][1],"//a[contains(@class,'button__quickshop')][1]","//a[contains(@class,'button__quickshop')][1]","//a[contains(@class,'button__quickshop')][1]","//button[contains(@class,'quick-view-button')][1]","//button[contains(@class,'quick-view-button')][1]",(//a[@data-test-id='mpp_quickshop'])[2]|(//a[@data-test-id='mpp_quickshop'])[1],"(//body[contains(@class,'-mob')]//a[@data-test-id='mpp_quickshop'])[2]|(//body[contains(@class,'-pc')]//a[@data-test-id='mpp_quickshop'])[1]",,,,,
