tt,BrandLocale,EL-AU,EL-NZ,EL-MY,EL-JP,EL-HK,EL-TH,EL-TW,EL-KR,MC-AU,MC-NZ,MC-MY,MC-JP,MC-HK,MC-TH,MC-TW,MC-KR,CL-AU,CL-NZ,CL-MY,CL-JP,CL-HK,CL-TH,CL-TW,CL-KR,OR-HK,OR-TH,OR-TW,LM-AU,LM-JP,LM-HK,LM-TH,LM-TW,BB-AU,BB-JP,BB-HK,BB-TH,BB-TW,BB-KR,JM-AU,JM-JP,JM-HK,JM-TH,JM-KR,JM-MY,GG-HK,AV-AU,AV-JP,AV-KR,LS-JP,LS-KR,EL-CN,MC-CN,LM-CN,CL-CN,BB-CN,JM-CN,LS-CN,OR-CN,JM-PH,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,CL-CA,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,MC-CE,MC-MX,MC-BR,CL-CE,CL-MX,CL-BR,EL-CE,EL-MX,BB-MX,LM-MX,LM-BR,JM-BR,MC-UK,EL-UK,JM-UK,CL-UK,GG-UK,BB-UK,AV-UK,OR-UK,BK-UK,DA-UK,FM-UK,LM-UK,LS-UK,SB-UK,DJ-UK,MC-DE,MC-FR,MC-RU,MC-GR,MC-NL,MC-HU,MC-IL,MC-IN,MC-KSA,MC-NO,MC-PL,MC-RO,MC-TR,MC-AT,MC-BE,MC-ES,MC-ZA,CL-FR,CL-DE,CL-RU,CL-ES,CL-NO,CL-AT,CL-GR,CL-IL,CL-NL,CL-SE,CL-TR,CL-ZA,CL-IT,EL-DE,EL-FR,EL-RU,EL-BE,AV-DE,AV-EU,AV-FR,AV-IT,AV-TR,OR-DE,OR-DK,OR-EU,OR-RU,OR-TR,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-RU,BB-TR,BB-ZA,BK-FR,DA-FR,DA-IT,LM-DE,LM-EU,LM-FR,LM-RU,JM-FR,JM-ME,JM-EU,SB-EU,EL-TR,EL-DK,EL-GR,EL-ES,EL-IL,EL-ZA,CL-FI,JM-SG,EL-SG,TF-DE
1,zipcode,2640,1010,75000,,,10600,649,,2000,1010,75000,1608001,,10600,403,100011,2640,1050,,,,,,,,10600,,NSW 2000,1110022,,,,NSW 2000,1110022,,10600,,100011,2000,1030027,,10600 bangk,,50470,,NSW 2000,920-0337,,1600022,,,,,,,,,,1229,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,10010,M5S 1N5,M5S 1N5,10010,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,M5S 1N5,10010,10010,10010,,01070,71219900,9200000,01070,71219900,,22056,01070,03100,71219900,71219900,PO14 4FL,ng17dn,ng17dn,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,EC3M,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,65623,44000,101000,10431,6536 CB,1052,6329302,560025,,3517,00120,61344,ankara,Vienna New Town,Mont-sur-Marchienne,18311,9301,68300,65623,101000,11160,3517,3233,84400,94101,6536 CB,761 52,20010,9301,RM00184,65623,44000,101000,6032,65623,6692,68300,RM00184,ankara,berlin,,MILAN,101000,ankara,Wiesbaden,madrid,06000,10431,6701101,101000,06 06520,,75002,75002,RM00184,Wiesbaden,Rosmalen,Nantes,Moscow,75004,,1069-413,10179,20010,9000,10431,18311,,9301,28100,238864,,10178
1,city,ALBURY,Auckland,Johor Bahru,,上環,กรุงเทพมหานคร,台中市,원주시,SYDNEY,AUCKLAND,MELAKA,TOKIYO,九龍,กรุงเทพมหานคร,台中市,SEOUL,CANBERRA,,Johor Bahru,山口県,,กรุงเทพมหานคร,台南,강원,,Bangkok,臺北市,SYDNEY,tokyo,,,,Sydney,tokyo,,กรุงเทพมหานคร,,Seoul,Sydney,tokyo,,bangkok,,Kuala Lumpur,,SYDNEY,nagamachi,SEOUL,tokyo,SEOUL,上海新世界大丸,BEIJING,,上海,查看全部,,,,manila,New York,TORONTO,New York,TORONTO,New York,TORONTO,New York,New York,TORONTO,TORONTO,New York,New York,TORONTO,New York,TORONTO,New York,TORONTO,New York,TORONTO,New York,TORONTO,New York,TORONTO,New York,New York,New York,,MEXICO CITY,SÃO LUÍS,Santiago,MEXICO CITY,brasilia,Antofagasta,Ensenada,MEXICO CITY,Ciudad de México,Brasilia,SÃO LUÍS,FAREHAM,ANDOVER,Nottingham,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,LONDON,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,Wiesbaden,Nantes,МОСКВА,ATHENS,Nijmegen,budapest,jeruselam,bengaluru,riyad,FREDRIKSTAD,Warsaw,Bucharest,06 06520,2700,6032,MADRID,BLOEMFONTEIN,PARIS,Wiesbaden,Moscow,Reus,FREDRIKSTAD,WÖTZLING,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,Jerusalem,Nijmegen,NORRTÄLJE,22,Bloemfontein,rome,Aachen,Nantes,Абакан,AALST,Wiesbaden,Brussels,PARIS,rome,06 06520,10179,,20019,Moscow,06 06520,65623,28013,nice,ATHENS,tel aviv,Moscow,ANKARA,,PARIS,PARIS,rome,65623,5241 VG,75008,101000,paris,Abu Dhabi,Lisbon ,berlin,ADANA,Aalborg,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,CARBALLO,א.ת. נתניה דרום,East London,Satakunta,Singapore,Singapore,BERLIN
1,province,NSW,,Johor,,,กรุงเทพมหานคร,,강원,,,,,,,,,ACT,Auckland,Johor,中国地区,中環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上海,,,上海,,,,,,,,,,,,,,,,,NY,Ontario,,,,,,,,,,,,,,,,,,,,,Baja California Norte,,Ciudad de México,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A CORUÑA,,Eastern Cape,,,,
1,country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNITED KINGDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRANCE,,,,,,,,,,,,,,,,,,,,
1,storemessage,For results you must enteryour post code or city and state/territory.,For results you must enter your post code or city.,For results you must enter your postal code or city and state/territory.,,資料不足,กรุณากรอกข้อมูลให้ครบ,,문의하신 내용을 실행하기에 데이터가 충분하지 않습니다.,PLEASE ENTER CITY OR ZIP CODE,PLEASE ENTER CITY OR ZIP CODE,PLEASE ENTER CITY OR ZIP CODE,お近くの都道府県、市・区または郵便番号を入力してください。,PLEASE ENTER CITY OR ZIP CODE,請輸入城市或郵遞區號,請輸入城市或郵遞區號,동 (읍/면) 또는 우편번호 입력,Please provide Postcode or both Suburb (Valid) and State/Territory,Please provide Postcode or both Suburb (Valid) and State/Territory,Please select state and city to find nearby locations,都道府県/地域を選択してください,請輸入地區,"โปรดกรอกจังหวัด, อำเภอ หรือรหัสไปรษณีย์ใกล้คุณ",請輸入城市,선택하신 지역에서 매장을 찾을 수 없습니다. 다른 지역을 선택해주시기 바랍니다.,請輸入地區,"โปรดกรอกจังหวัด, อำเภอ หรือรหัสไปรษณีย์",請輸入城市或郵遞區號,"Please enter city, state or postal code",,,,,"WE DIDN'T FIND ANY STORES FOR THE SUBURB, STATE OR POST CODE YOU ENTERED. PLEASE TRY AGAIN.",お近くの都道府県、市・区または郵便番号を入力してください。,請輸入城市,"โปรดกรอก จังหวัด, อำเภอ หรือรหัสไปรษณีย์เพื่อค้นหาเคาน์เตอร์ใกล้ๆคุณ",請選填縣市。,찾으시는 지역의 동(읍/면) 혹은 우편번호를 입력해주세요.,,,,เพื่อทำการค้นหา กรุณาระบุ แขวง/ เขต/ จังหวัด หรือ รหัสไปรษณีย์,,,請選擇地區以搜尋專櫃,"Please enter city, state or post code",都市または郵便番号,올바른 지역명을 입력해 주세요.,都市名もしくは郵便番号を入力,"시/도, 도시, 우편번호를 입력하세요",,,,,,,,,,"Please enter city, state or zip code","Please enter city, province or postal code","Please enter a city, state or zip code to find nearby locations","Please enter a city, state or zip code to find nearby locations","Please enter city, state or zip code","Please enter city, state or zip code","Please enter city, state or zip code","Please enter a city, state or zip code to find nearby locations","Please enter a city, state or zip code to find nearby locations",Please enter city or zip code,Please enter city or zip code,Insufficient Data to Run Query,Insufficient Data to Run Query,,,,,,,"Please enter city, state or zip code","Please enter city, state or zip code","Please enter city, state or zip code","Please enter city, state or zip code","Please enter city, state or zip code",,,Por favor ingresa la ciudad,"POR FAVOR INDICA CIUDAD, ESTADO O CÓDIGO POSTAL","FAVOR INSERIR CIDADE, ESTADO OU CEP",Ingresa tu ciudad o código postal para encontrar ubicaciones cercanas.,Ingresa tu ciudad o código postal para encontrar ubicaciones cercanas.,"Por favor, insira uma cidade, estado ou CEP para encontrar as localizações mais próximas.",Datos insuficientes para realizar búsqueda,Datos insuficientes para realizar búsqueda,,Introduce tu código postal o ciudad y estado.,"Por favor, selecione seu CEP ou cidade e estado.",,PLEASE ENTER A CITY OR POST CODE,No Locations Found,,,,Please enter a city or postal code to find nearby locations,Please enter city or post code,Please enter city or postcode,"Please enter city, state or zip code",,,,,,,,,Введите город или индекс,"ΕΙΣΑΓΕΤΕ ΠΟΛH, ΠΕΡΙΟΧΗ Ή Τ.Κ.",Vul de stad of postcode in,VÁROS VAGY IRÁNYÍTÓSZÁM,אנא הזן את העיר,PLEASE ENTER CITY OR ZIP CODE,PLEASE ENTER CITY,SKRIV INN BY ELLER POSTNUMMER,"WPROWADŹ MIEJSCOWOŚĆ, WOJEWÓDZTWO LUB KOD POCZTOWY.","TE RUGĂM SĂ INTRODUCI ORAȘUL, JUDEȚUL SAU CODUL POȘTAL","LÜTFEN İL, İLÇE VEYA POSTA KODUNU GİRİNİZ.","GEBEN SIE BITTE EINE STADT, EIN BUNDESLAND ODER EINE PLZ EIN.",VUL DE STAD OF POSTCODE IN,"POR FAVOR INDICA CIUDAD, ESTADO O CÓDIGO POSTAL",PLEASE ENTER A CITY OR PROVINCE,Aucun critère de recherche n'a été fourni,"Bitte geben Sie Ihre Stadt, Ihr Land oder Ihre PLZ erneut ein.",Введите город или индекс,,Skriv inn by eller postnummer for å finne forhandlere i nærheten.,"Bitte geben Sie Ihre Stadt, Ihr Land oder Ihre PLZ erneut ein.",Καταχωρήστε την Πόλη ή τον Ταχυδρομικό Κώδικα,,Geef uw stad en zip code in,Vänligen ange en stad eller ett postnummer för att hitta återförsäljare i närheten.,,"Please enter a city, state or zip code to find nearby locations","Per favore nserisci una città, una provincia o un CAP per trovare Punti Vendita nelle vicinanze.",,,,,"Bitte geben Sie eine Stadt, ein Bundesland oder eine Postleitzahl ein","Veuillez saisir la ville, l’état ou le code postal","Veuillez saisir la ville, l’état ou le code postal","Digita la città, la provincia o il CAP","Şehir, bölge ya da posta kodu",Bitte geben Sie eine Stadt oder PLZ ein,,"Inserisci la tua città, regione o codice postale","Пожалуйста, введите город, область или индекс","Please enter city, state or zip code","BITTE GEBEN SIE EINE STADT, EIN BUNDESLAND ODER EINE POSTLEITZAHL EIN UM EINE VERKAUFSSTELLE IN IHRER NÄHE ZU FINDEN",POR FAVOR INTRODUCE UNA CIUDAD O UN CÓDIGO POSTAL PARA ENCONTRAR LA TIENDA MÁS CERCANA,,"ΠΑΡΑΚΑΛΟΥΜΕ ΕΙΣΑΓΕΤΕ ΠΟΛΗ, ΠΕΡΙΟΧΗ Ή T.K",לא נמצאו תוצאות לעיר/מיקוד שהזנת. אנא נסי שנית,"ВВЕДИ ГОРОД, РЕГИОН ИЛИ ИНДЕКС, ЧТОБЫ НАЙТИ БЛИЖАЙШИЕ МАГАЗИНЫ",YAKININIZDAKI MAĞAZALARI GÖRÜNTÜLEMEK IÇIN LÜTFEN BULUNDUĞUNUZ ŞEHRI YA DA POSTA KODUNUZU GIRINIZ.,PLEASE CHOOSE A PROVINCE & CITY TO FIND NEARBY LOCATIONS,Veuillez indiquer une ville ou un code postal,VILLE OU CODE POSTAL,CITTÀ O CAP,,,,,,,,,,,,,,,,,,
1,Provinceindex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cityindex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,storename,,,,,,,,,,,,,,,,,Myer Belconnen,Farmers Albany,,,,,新光三越台南中山店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上海市第一百货商业中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,countryindex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,
1,provincemobindex,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,,,2,1,1,,,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,1,1,,,,,,,,,,,,,,,2,,2,,,,
