tt,BrandLocale,BK-US,BU-CA,BU-US,MC-CA,CL-US,DJ-US,MC-US,OR-US,CL-CA,EL-US,EL-CA,AV-US,AV-CA,BB-US,BB-CA,LM-US,LM-CA,JM-US,JM-CA,TF-US
1,spec_rcoguebpc,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoguebmob,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcogumopc,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
1,spec_rcogumomob,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
1,spec_rconuaopc,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,spec_rconuaomob,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruebpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruebmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruscpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruscmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcogurpapopc,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
1,spec_rcogurpapomob,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1
1,spec_rcosignupnupc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcosignupnumob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoedproddelrupc,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_rcoedproddelrumob,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_rcobopisgupc,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcobopisgumob,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcobopisrupc,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcobopisrumob,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcobopisruedpc,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcobopisruedmob,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
1,spec_rcogupgcpc,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
1,spec_rcogupgcmob,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
