tt,BrandLocale,AV-US
1,spec_acommflagsaltersalonselectionrupc,1
1,spec_acommflagsalterthestylistnamerupc,1
1,spec_acommflagsartistpagetimeresetrupc,1
1,spec_acommflagshausmartartisttimeresetrupc,1
1,spec_acommflagshausmartsalontimeresetrupc,1
1,spec_acommflagslastmodifiedbeforecheckoutrupc,1
1,spec_acommflagsnochangerupc,1
1,spec_acommflagssalonpagetimeresetrupc,1
1,spec_acommflagsunselectsalonrupc,1
1,spec_acommflagsvisitartistpagerupc,1
1,spec_acommflagsvisithausmartartistpagerupc,1
1,spec_acommflagsvisithausmartsalonpagerupc,1
1,spec_acommflagsvisitsalonpagerupc,1
1,spec_acommflagsaltersalonselectiongupc,1
1,spec_acommflagsvisithausmartsalonpagegupc,1
1,spec_acommflagsalterthestylistnamerumob,1
1,spec_acommflagsaltersalonselectionrumob,1
1,spec_acommflagsartistpagetimeresetrumob,1
1,spec_acommflagshausmartartisttimeresetrumob,1
1,spec_acommflagshausmartsalontimeresetrumob,1
1,spec_acommflagslastmodifiedbeforecheckoutrumob,1
1,spec_acommflagsnochangerumob,1
1,spec_acommflagssalonpagetimeresetrumob,1
1,spec_acommflagsunselectsalonrumob,1
1,spec_acommflagsvisitartistpagerumob,1
1,spec_acommflagsvisithausmartartistpagerumob,1
1,spec_acommflagsvisithausmartsalonpagerumob,1
1,spec_acommflagsvisitsalonpagerumob,1
1,spec_acommflagsaltersalonselectiongumob,1
1,spec_acommflagsvisithausmartsalonpagegumob,1
1,spec_acommflagsnegativecasespc,1
1,spec_acommflagsnegativecasesmob,1
