tt,BrandLocale,EL-CE,MC-CE,CL-CE,EL-MX,MC-MX,CL-MX,OR-MX,BB-MX,LM-MX,MC-BR,CL-BR,LM-BR,JM-BR,AV-MX,TF-BR,EL-BR,JM-MX
1,spec_nupc,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_gupc,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
1,spec_rupc,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_cartpc,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_accpc,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_numob,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_gumob,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
1,spec_rumob,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_cartmob,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,spec_accmob,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
