tt,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,spec_guccnextdaydeliverypc,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_nuccnameddaydeliverypc,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_ruccsaturdaydeliverypc,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_guccnextdaydeliverymob,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_nuccnameddaydeliverymob,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_ruccsaturdaydeliverymob,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,spec_gupc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_gumob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_nupc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_numob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rupc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rumob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_scrupc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_scrumob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_cartpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_cartmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_accpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_accmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_fbloginaccpagepc,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1,spec_fbloginchkpagepc,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1,spec_fbloginaccpagemob,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1,spec_fbloginchkpagemob,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
