tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,JM-US,MC-FR
1,spec_alrtmsgfrsmplgupc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,spec_bopdelmethmrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopdelmetsddrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopdrpunvitmrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopnsddoptonspppc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,spec_bopprctgdscrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopprxysmplallitmsrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopshpchrgndelmetrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopwthgcrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_bopwthmtrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_hmdelmetboprupc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,spec_hmdelwthapayrupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
