tt,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,spec_gwinvalidmsggupc,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_gwinvalidmsgrupc,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_gweditgupc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,spec_gweditrupc,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,spec_gwfldsordsumsecrupc,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_clickcollectgupc,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1,spec_guclearpaypc,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_guexpaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_gupaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_gugiftcardpc,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
1,spec_nuclearpaypc,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_nupaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_nuexpaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_ruclearpaypc,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_rupaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_ruexpaypalpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_gwinvalidmsggumob,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_gwinvalidmsgrumob,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_gweditgumob,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,spec_gweditrumob,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,spec_gwfldsordsumsecrumob,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,spec_clickcollectgumob,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1,spec_guclearpaymob,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_guexpaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_gupaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_nugiftcardmob,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
1,spec_nuclearpaymob,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_nupaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_nuexpaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_ruclearpaymob,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
1,spec_rupaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_ruexpaypalmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_loyoptinnupc,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_loytiertwopc,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_loytierthreepc,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_loyoptinnumob,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_loytiertwomob,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_loytierthreemob,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1,spec_prouserchkpc,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,spec_prouserchkmob,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,spec_esalonchkpc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_esalonchkmob,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_rupblpc,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0
1,spec_guvirtualsetpc,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,spec_guvirtualsetmob,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
1,spec_socialsharepc,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,spec_socialsharemob,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,spec_embossingpc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_embossingnormalpc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_embossingmob,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_embossingnormalmob,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_pblstdgupc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_pblstdgumob,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_pblndgupc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_pblndgupc,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,spec_intlbillinggupc,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
1,spec_intlbillinggumob,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1
1,spec_guvirtualbundlespc,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,spec_guvirtualbundlesmob,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
