tt,BrandLocale,CL-IT,EL-ZA,MC-BE,MC-DE,BB-FR,EL-IT
1,spec_nulenrollinmarktpagepc,1,1,1,1,1,1
1,spec_nulenrollinmarktpagemob,1,1,1,1,1,1
1,spec_nuloyaltywelcomeofferpc,1,1,1,1,1,1
1,spec_nuloyaltywelcomeoffermob,1,1,1,1,1,1
1,spec_gulenrollinconpagepc,1,0,1,1,1,1
1,spec_gulenrollinconpagemob,1,0,1,1,1,1
1,spec_nulenrollinregpagepc,1,1,1,1,1,1
1,spec_nulenrollinregpagemob,1,1,1,1,1,1
1,spec_luwelcomeandbirthdayofferpc,1,0,1,0,0,0
1,spec_luwelcomeandbirthdayoffermob,1,0,1,0,0,0
1,spec_nuloyaltybirthdayofferpc,0,1,0,0,0,1
1,spec_nuloyaltybirthdayoffermob,0,1,0,0,0,1
