tt,BrandLocale,EL-AU,EL-JP,MC-JP,LM-JP,EL-HK,MC-HK,LM-HK,BB-HK
1,spec_nulenrollinmarktpagepc,1,1,1,1,0,0,0,0
1,spec_nulenrollinmarktpagemob,1,1,1,1,0,0,0,0
1,spec_nuloyaltywelcomeofferpc,0,1,1,1,0,0,0,0
1,spec_nuloyaltywelcomeoffermob,0,1,1,1,0,0,0,0
1,spec_nulenrollinregpagepc,1,1,1,1,0,0,0,0
1,spec_nulenrollinregpagemob,1,1,1,1,0,0,0,0
1,spec_nuloyaltybirthdayofferpc,0,1,1,1,0,0,0,0
1,spec_nuloyaltybirthdayoffermob,0,1,1,1,0,0,0,0
1,spec_nulenrollinconpagepc,0,1,1,1,0,0,0,0
1,spec_nulenrollinconpagemob,0,1,1,1,0,0,0,0
1,spec_gulenrollinconpagepc,1,0,0,0,0,0,0,0
1,spec_gulenrollinconpagemob,1,0,0,0,0,0,0,0
