tt,BrandLocale,BB-TR,BK-FR,CL-FI,CL-TR,DA-BE,DA-DE,DA-FR,DA-NL,EL-TR,EL-ZA,LM-AT,LM-BE,LM-CH,LM-ES,LM-IT,LM-PL,LM-PT,MC-DE,MC-TR,TF-FR
1,spec_rcogumopc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcogumomob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rconuaopc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rconuaomob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoguebpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoguebmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruebpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruebmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_rcoruscpc,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
1,spec_rcoruscmob,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
1,spec_rcosignupnupc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,spec_rcosignupnumob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
